,Station,Year,Wet_mm,Dry_mm
0,500001,1981,425.0,21.5
1,500001,1982,495.1,220.4
2,500001,1983,684.6,65.1
3,500001,1984,644.7,41.9
4,500001,1985,566.8,39.300000000000004
5,500001,1986,862.2,254.9
6,500001,1987,886.5,93.5
7,500001,1988,931.2,172.4
8,500001,1989,1077.0,72.2
9,500001,1990,978.2,102.1
10,500001,1991,918.5,132.0
11,500001,1992,817.7,54.3
12,500001,1993,496.3,50.5
13,500001,1994,1059.0,188.9
14,500001,1995,1000.3,29.6
15,500001,1996,832.9,125.0
16,500001,1997,996.2,178.1
17,500001,1998,1001.8,170.3
18,500001,1999,1171.4,319.7
19,500001,2000,733.0,261.0
20,500001,2001,1352.5,181.20000000000002
21,500001,2002,927.5,89.1
22,500001,2003,857.0,320.3
23,500001,2004,831.6,130.6
24,500001,2005,804.5,137.2
25,500001,2006,1126.3,194.9
26,500001,2007,947.6,127.3
27,500001,2008,481.3,239.39999999999998
28,500001,2009,646.5,99.1
29,500001,2010,704.7,109.0
30,500001,2011,586.3,99.6
31,500001,2012,680.6,165.7
32,500001,2013,1231.5,339.6
33,500001,2014,567.2,112.1
34,500001,2015,,183.0
35,500002,1981,1097.5,90.8
36,500002,1982,802.6,302.5
37,500002,1983,1091.9,54.1
38,500002,1984,1266.8,151.9
39,500002,1985,1223.5,205.3
40,500002,1986,946.1,337.8
41,500002,1987,986.4,158.7
42,500002,1988,1225.0,275.7
43,500002,1989,1130.5,79.9
44,500002,1990,1080.0,188.0
45,500002,1991,1299.0,222.79999999999998
46,500002,1992,747.7,113.5
47,500002,1993,1080.4,283.0
48,500002,1994,1617.0,189.8
49,500002,1995,1339.9,183.0
50,500002,1996,910.1,287.8
51,500002,1997,1138.9,185.1
52,500002,1998,1131.7,110.5
53,500002,1999,1124.1,192.3
54,500002,2000,875.4,128.1
55,500002,2001,1623.5,191.0
56,500002,2002,1347.0,118.5
57,500002,2003,1005.0,336.3
58,500002,2004,1252.2,207.2
59,500002,2005,1356.2,135.70000000000002
60,500002,2006,1148.9,184.2
61,500002,2007,1376.4,252.6
62,500002,2008,1022.2,365.3
63,500002,2009,951.9,400.2
64,500002,2010,1026.2,253.5
65,500002,2011,1061.2,597.0
66,500002,2012,989.3,433.8
67,500002,2013,1108.0,454.9
68,500002,2014,1100.4,393.5
69,500002,2015,,243.1
70,500003,1981,1068.5,102.1
71,500003,1982,749.8000000000001,346.4
72,500003,1983,986.8,15.3
73,500003,1984,901.4,228.4
74,500003,1985,864.3,176.79999999999998
75,500003,1986,827.6,260.4
76,500003,1987,1083.0,152.1
77,500003,1988,975.2,341.6
78,500003,1989,1101.3,153.4
79,500003,1990,784.2,234.70000000000002
80,500003,1991,648.2,195.2
81,500003,1992,816.2,35.7
82,500003,1993,925.7,197.70000000000002
83,500003,1994,1282.8,170.1
84,500003,1995,1360.0,186.7
85,500003,1996,868.8,224.10000000000002
86,500003,1997,792.6,121.7
87,500003,1998,938.2,115.4
88,500003,1999,1013.6,185.8
89,500003,2000,1207.7,251.7
90,500003,2001,1042.9,172.6
91,500003,2002,1228.1,123.2
92,500003,2003,941.2,282.2
93,500003,2004,1056.7,118.19999999999999
94,500003,2005,1063.3,198.6
95,500003,2006,902.4,194.4
96,500003,2007,827.0,50.8
97,500003,2008,564.8,387.6
98,500003,2009,633.8,190.1
99,500003,2010,654.3,147.7
100,500003,2011,524.4,107.5
101,500003,2012,554.7,226.7
102,500003,2013,699.2,379.8
103,500003,2014,698.1,437.90000000000003
104,500003,2015,,101.4
105,500004,1981,1047.8,57.5
106,500004,1982,658.9,307.7
107,500004,1983,912.9,18.4
108,500004,1984,856.3,136.0
109,500004,1985,964.5,173.9
110,500004,1986,1022.3,296.8
111,500004,1987,1022.6,184.5
112,500004,1988,722.5,255.70000000000002
113,500004,1989,1061.0,45.3
114,500004,1990,903.5,145.6
115,500004,1991,907.4,134.2
116,500004,1992,726.3,77.9
117,500004,1993,847.2,216.0
118,500004,1994,1237.9,220.2
119,500004,1995,1192.4,92.7
120,500004,1996,730.5,199.4
121,500004,1997,828.9,161.9
122,500004,1998,818.6,66.6
123,500004,1999,963.8,223.10000000000002
124,500004,2000,844.3,199.2
125,500004,2001,1031.0,148.4
126,500004,2002,1074.0,102.5
127,500004,2003,836.2,153.0
128,500004,2004,776.9,76.9
129,500004,2005,1043.0,178.9
130,500004,2006,1101.4,120.30000000000001
131,500004,2007,1049.7,313.0
132,500004,2008,677.2,798.9
133,500004,2009,495.2,299.2
134,500004,2010,642.5,179.1
135,500004,2011,589.8,279.7
136,500004,2012,790.5,387.4
137,500004,2013,993.9,507.5
138,500004,2014,939.2,364.1
