,n,phi,MK,MMK,PW,TFPW
0,30,0.0,0.04933333333333333,0.026333333333333334,0.043333333333333335,0.051333333333333335
1,30,0.3,0.12666666666666668,0.051333333333333335,0.03966666666666667,0.13833333333333334
2,30,0.6,0.304,0.10933333333333334,0.041,0.375
3,40,0.0,0.049,0.010666666666666666,0.039,0.04533333333333334
4,40,0.3,0.12866666666666668,0.025,0.036,0.143
5,40,0.6,0.30233333333333334,0.05566666666666667,0.042333333333333334,0.37066666666666664
6,50,0.0,0.053,0.009333333333333334,0.059,0.057666666666666665
7,50,0.3,0.14666666666666667,0.028333333333333332,0.04633333333333333,0.16133333333333333
8,50,0.6,0.2966666666666667,0.058,0.042,0.37733333333333335
9,60,0.0,0.044333333333333336,0.009,0.05,0.050666666666666665
10,60,0.3,0.13466666666666666,0.023333333333333334,0.05,0.158
11,60,0.6,0.312,0.06933333333333333,0.052,0.407
