,sigma,phi,MK,MMK,PW,TFPW
0,1.0,0.0,0.04133333333333333,0.01633333333333333,0.044,0.04833333333333333
1,1.0,0.3,0.132,0.036,0.046,0.148
2,1.0,0.6,0.30033333333333334,0.07233333333333333,0.04666666666666667,0.37033333333333335
3,5.0,0.0,0.042333333333333334,0.011,0.047,0.04933333333333333
4,5.0,0.3,0.12233333333333334,0.03166666666666667,0.048,0.15466666666666667
5,5.0,0.6,0.2853333333333333,0.067,0.04666666666666667,0.36533333333333334
6,10.0,0.0,0.04933333333333333,0.012666666666666666,0.042,0.056
7,10.0,0.3,0.13933333333333334,0.034333333333333334,0.044,0.162
8,10.0,0.6,0.307,0.07633333333333334,0.046,0.38666666666666666
9,20.0,0.0,0.05466666666666667,0.018666666666666668,0.050333333333333334,0.058333333333333334
10,20.0,0.3,0.132,0.035666666666666666,0.047,0.157
11,20.0,0.6,0.30366666666666664,0.075,0.048666666666666664,0.37366666666666665
