Station Code,Latitude (°N),Longitude (°E),Elevation (m),Rainy Season (mm),Hot/Dry Season (mm),Annual Total (mm),Rainy Ratio (%)
500001,12.37,99.95,9.13,827.8,156.5,984.3,84.1
500002,11.18,99.55,N/A,1128.0,251.1,1379.1,81.8
500003,12.02,99.90,N/A,894.4,220.9,1115.3,80.2
500004,11.47,99.65,N/A,889.0,238.1,1127.1,78.9
500005,11.60,99.68,5,920.3,210.3,1130.6,81.4
500006,11.62,99.67,23.01,925.7,243.8,1169.6,79.2
500007,11.90,99.78,21.28,833.9,255.4,1089.3,76.6
500008,12.53,99.55,130.26,976.5,192.4,1168.9,83.5
500009,12.22,99.87,14.45,955.8,180.9,1136.7,84.1
500201,11.83,99.83,80,742.3,348.4,1090.8,68.1
500202,12.59,99.96,N/A,701.4,224.8,926.3,75.7
500301,12.58,99.73,101.85,830.1,218.3,1048.4,79.2
