Season,Precipitation Index,El Niño Anomaly (%),El Niño 95% CI (%),El Niño p-val,El Niño FDR q-val,La Niña Anomaly (%),La Niña 95% CI (%),La Niña p-val,La Niña FDR q-val
Rainy (May–Oct),PRCPTOT,-6.6,"[-18.5, 6.8]",0.3750,0.5455,+2.4,"[-9.1, 18.0]",0.7350,0.8205
Rainy (May–Oct),wet_day_frequency_pct,+0.0,"[-9.2, 5.0]",1.0000,1.0000,-0.5,"[-9.0, 7.6]",0.8900,0.9287
Rainy (May–Oct),Rx1day,-24.6,"[-43.6, 2.4]",0.1700,0.3627,-1.9,"[-27.4, 39.1]",0.9300,0.9549
Rainy (May–Oct),Rx5day,-10.6,"[-27.9, 7.3]",0.6200,0.7467,+11.4,"[-20.3, 64.4]",0.5300,0.6695
Rainy (May–Oct),CDD,+16.0,"[-6.2, 42.9]",0.1550,0.3382,-5.6,"[-19.1, 14.3]",0.6050,0.7446
Rainy (May–Oct),CWD,-5.6,"[-27.2, 17.2]",0.7300,0.8205,+8.8,"[-27.7, 30.9]",0.6800,0.7865
Rainy (May–Oct),R10mm,-4.6,"[-19.2, 13.5]",0.6900,0.7886,+12.0,"[-0.8, 32.2]",0.1750,0.3652
Rainy (May–Oct),R20mm,-14.2,"[-29.4, 13.4]",0.3050,0.4963,+6.4,"[-11.0, 37.0]",0.6650,0.7785
Hot/Dry (Nov–Apr),PRCPTOT,-28.1,"[-57.6, 4.5]",0.1850,0.3779,+11.7,"[-25.3, 62.6]",0.5300,0.6695
Hot/Dry (Nov–Apr),wet_day_frequency_pct,-9.7,"[-31.1, 15.4]",0.5900,0.7356,+33.2,"[3.9, 53.7]",0.0200,0.1371
Hot/Dry (Nov–Apr),Rx1day,-23.2,"[-46.0, 6.0]",0.2300,0.4089,-11.9,"[-28.5, 28.2]",0.5200,0.6695
Hot/Dry (Nov–Apr),Rx5day,-40.1,"[-56.8, -10.5]",0.1000,0.2743,+2.1,"[-26.7, 65.7]",0.9350,0.9549
Hot/Dry (Nov–Apr),CDD,-9.7,"[-27.5, 19.0]",0.5300,0.6695,-16.0,"[-35.6, 6.9]",0.2700,0.4629
Hot/Dry (Nov–Apr),CWD,-22.0,"[-41.5, 6.5]",0.3050,0.4963,+25.2,"[-5.8, 74.0]",0.2050,0.3877
Hot/Dry (Nov–Apr),R10mm,-37.1,"[-63.9, 0.1]",0.1100,0.2743,+10.6,"[-20.9, 92.4]",0.6300,0.7467
Hot/Dry (Nov–Apr),R20mm,-45.1,"[-72.6, -5.3]",0.1200,0.2743,+4.1,"[-27.0, 121.9]",0.8750,0.9231
