season_type,climate_year,enso_phase,station,PRCPTOT,Rx1day,Rx5day,SDII,R95p,R99p,CWD,CDD,source_type,model
RAINY,1981,NEUTRAL,500001,425.0,82.2,111.4,10.028571428571427,127.5,82.2,13,32,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500002,1097.5,108.2,169.3,24.388888888888893,346.4,195.0,6,19,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500003,1068.5,157.0,193.5,15.150000000000004,355.4,157.0,5,9,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500004,1047.8000000000002,87.5,123.0,21.379591836734694,473.0,164.9,4,12,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500005,1026.1999999999998,38.6,78.5,5.864942528735633,223.39999999999998,38.6,150,4,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500006,1020.1000000000001,36.3,75.0,5.799999999999999,202.0,0.0,151,4,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500007,876.0999999999999,30.2,60.3,5.188023952095809,104.0,0.0,55,4,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500008,1006.9,17.6,56.7,5.7477011494252865,154.29999999999998,0.0,92,4,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500009,917.5999999999999,43.4,68.3,5.2379310344827585,107.39999999999999,65.0,92,4,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500201,705.0999999999999,48.1,92.39999999999999,9.232,90.2,0.0,13,14,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500202,668.4000000000001,76.6,106.1,8.630263157894735,139.1,0.0,6,12,OBSERVED,OBSERVED
RAINY,1981,NEUTRAL,500301,1023.8,62.0,130.8,12.079761904761906,274.4,0.0,10,9,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500001,220.39999999999998,61.1,114.4,16.953846153846154,112.9,0.0,7,157,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500002,302.5,141.4,141.4,50.416666666666664,260.6,141.4,2,115,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500003,346.4,91.2,134.9,18.057894736842105,91.2,91.2,4,68,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500004,307.69999999999993,74.5,106.5,17.044444444444448,74.5,74.5,3,68,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500005,314.19999999999993,30.3,64.30000000000001,5.412962962962963,70.5,0.0,14,35,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500006,315.3,26.5,61.199999999999996,5.255357142857143,46.7,0.0,14,35,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500007,403.69999999999993,44.7,109.10000000000001,8.157446808510638,157.70000000000002,44.7,13,73,OBSERVED,OBSERVED
HOT_DRY,1981,TRANSITION_UNCLASSIFIED,500008,335.0,28.0,70.6,4.689705882352942,91.9,73.7,18,61,OBSERVED,OBSERVED
