station_id,annual_mean_mm,sen_slope_mm_yr,std_mk_Z,std_mk_p,primary_method,yw_r1,yw_ratio_n_ns_star,yw_mmk_Z,yw_mmk_p,status
500001,983.66,7.41,1.142,0.2536,yue_wang_2004,0.229,1.0,1.142,0.2536,VALID
500002,1376.19,9.175,2.253,0.0242,yue_wang_2004,-0.1386,1.0,2.253,0.0242,VALID
500003,1100.02,-5.933,-1.453,0.1463,yue_wang_2004,0.4551,2.5801,-0.904,0.3658,VALID
500004,1106.0,2.355,0.534,0.5936,yue_wang_2004,0.1891,1.0,0.534,0.5936,VALID
500005,1147.21,-1.09,-0.237,0.8125,yue_wang_2004,0.4048,2.293,-0.157,0.8755,VALID
500006,1203.06,1.354,0.534,0.5936,yue_wang_2004,0.1717,1.0,0.534,0.5936,VALID
500007,1133.56,-2.254,-0.83,0.4064,yue_wang_2004,0.1531,1.0,-0.83,0.4064,VALID
500008,1206.31,-0.65,-0.267,0.7896,yue_wang_2004,0.0177,1.0,-0.267,0.7896,VALID
500009,1176.53,0.583,0.46,0.6458,yue_wang_2004,0.1699,1.0,0.46,0.6458,VALID
500201,1108.24,3.511,0.623,0.5335,yue_wang_2004,0.0542,1.0,0.623,0.5335,VALID
500202,944.14,-4.376,-1.156,0.2476,yue_wang_2004,-0.3619,0.48,-1.669,0.0951,VALID
500301,1064.85,-0.621,-0.296,0.7669,yue_wang_2004,-0.1054,1.0,-0.296,0.7669,VALID
