station_id,period,n_obs,mean_precip_mm,sen_slope,std_mk_S,std_mk_var_S,std_mk_Z,std_mk_p,primary_method,yw_r1,yw_r1_significant,yw_n_ns_star,yw_var_S_mod,yw_mmk_Z,yw_mmk_p,status
500001,Annual,34,983.66,7.41,78.0,4549.33,1.142,0.2536,yue_wang_2004,0.229,False,1.0,4549.33,1.142,0.2536,VALID
500001,Wet Season,34,833.04,2.9,35.0,4550.33,0.504,0.6142,yue_wang_2004,0.1778,False,1.0,4550.33,0.504,0.6142,VALID
500001,Dry Season,34,150.61,3.4,165.0,4550.33,2.431,0.015,yue_wang_2004,0.1138,False,1.0,4550.33,2.431,0.015,VALID
500002,Annual,34,1376.19,9.175,153.0,4550.33,2.253,0.0242,yue_wang_2004,-0.1386,False,1.0,4550.33,2.253,0.0242,VALID
500002,Wet Season,34,1131.85,0.929,21.0,4550.33,0.296,0.7669,yue_wang_2004,0.0051,False,1.0,4550.33,0.296,0.7669,VALID
500002,Dry Season,34,244.34,6.369,203.0,4550.33,2.995,0.0027,yue_wang_2004,0.4154,True,2.3499,10692.68,1.953,0.0508,VALID
500003,Annual,34,1100.02,-5.933,-99.0,4550.33,-1.453,0.1463,yue_wang_2004,0.4551,True,2.5801,11740.29,-0.904,0.3658,VALID
500003,Wet Season,34,899.61,-7.772,-127.0,4550.33,-1.868,0.0618,yue_wang_2004,0.5421,True,3.2161,14634.28,-1.042,0.2976,VALID
500003,Dry Season,34,200.41,0.623,23.0,4550.33,0.326,0.7443,yue_wang_2004,0.1869,False,1.0,4550.33,0.326,0.7443,VALID
500004,Annual,34,1106.0,2.355,37.0,4550.33,0.534,0.5936,yue_wang_2004,0.1891,False,1.0,4550.33,0.534,0.5936,VALID
500004,Wet Season,34,891.47,-3.089,-63.0,4550.33,-0.919,0.358,yue_wang_2004,0.2705,False,1.0,4550.33,-0.919,0.358,VALID
500004,Dry Season,34,214.53,3.877,133.0,4550.33,1.957,0.0504,yue_wang_2004,0.2688,False,1.0,4550.33,1.957,0.0504,VALID
