model,member_id,episode_id,phase,start_center_month,end_center_month,n_consecutive_overlapping_seasons,index_mean_c,index_min_c,index_max_c,threshold_c,persistence_seasons,source
ACCESS-ESM1-5,r1i1p1f1,EN_01,EL_NINO,1983-03-01,1984-07-01,17,1.0613345294117646,0.523239,1.882861,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,LN_01,LA_NINA,1984-12-01,1986-02-01,15,-0.9022202000000001,-1.407362,-0.644726,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,EN_02,EL_NINO,1986-09-01,1987-03-01,7,0.5916740000000001,0.522173,0.68353,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,EN_03,EL_NINO,1988-08-01,1989-01-01,6,0.6227021666666667,0.568019,0.667851,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,LN_02,LA_NINA,1990-08-01,1991-02-01,7,-0.8074151428571429,-0.992767,-0.561168,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,EN_04,EL_NINO,1992-12-01,1993-04-01,5,0.7908631999999999,0.505546,1.026929,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,LN_03,LA_NINA,1993-09-01,1994-10-01,14,-1.6120494285714284,-2.356716,-0.545852,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,EN_05,EL_NINO,1995-03-01,1996-04-01,14,1.1033183571428573,0.502567,1.691107,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,EN_06,EL_NINO,1997-08-01,1999-05-01,22,0.8995457727272729,0.53087,1.257533,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
ACCESS-ESM1-5,r1i1p1f1,LN_04,LA_NINA,1999-08-01,2000-07-01,12,-1.0245757500000001,-1.375054,-0.524299,0.5,5,ACCESS-ESM1-5 r1i1p1f1 historical tos
