episode_id,phase,start_center_month,end_center_month,n_consecutive_overlapping_seasons,index_mean_c,index_min_c,index_max_c,threshold_c,persistence_seasons,source
LN_01,LA_NINA,1950-01-01,1951-01-01,13,-0.8692307692307691,-1.3,-0.6,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_01,EL_NINO,1951-06-01,1952-01-01,8,0.7875,0.5,1.0,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_02,EL_NINO,1953-02-01,1953-12-01,11,0.6272727272727272,0.5,0.8,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_02,LA_NINA,1954-05-01,1954-10-01,6,-0.6166666666666667,-0.8,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_03,LA_NINA,1955-01-01,1956-08-01,20,-0.82,-1.6,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_03,EL_NINO,1957-04-01,1958-06-01,15,1.0533333333333332,0.5,1.7,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_04,EL_NINO,1963-06-01,1964-02-01,9,0.9222222222222223,0.5,1.2,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_04,LA_NINA,1964-05-01,1965-01-01,9,-0.6888888888888888,-0.8,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_05,EL_NINO,1965-05-01,1966-03-01,11,1.2181818181818183,0.5,1.8,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_06,EL_NINO,1968-10-01,1969-06-01,9,0.7444444444444444,0.5,1.0,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_07,EL_NINO,1969-09-01,1970-01-01,5,0.6599999999999999,0.5,0.8,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_05,LA_NINA,1970-07-01,1972-01-01,19,-0.8210526315789475,-1.4,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_08,EL_NINO,1972-05-01,1973-03-01,11,1.2363636363636363,0.5,1.8,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_06,LA_NINA,1973-05-01,1974-07-01,15,-1.1800000000000002,-2.0,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_07,LA_NINA,1974-09-01,1976-03-01,19,-0.9473684210526317,-1.6,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_09,EL_NINO,1976-09-01,1977-02-01,6,0.7333333333333334,0.6,0.8,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_10,EL_NINO,1977-09-01,1978-02-01,6,0.6666666666666666,0.5,0.8,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_11,EL_NINO,1979-10-01,1980-02-01,5,0.54,0.5,0.6,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_12,EL_NINO,1982-05-01,1983-06-01,14,1.35,0.6,2.1,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_08,LA_NINA,1983-10-01,1984-02-01,5,-0.76,-1.0,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_09,LA_NINA,1984-10-01,1985-06-01,9,-0.8333333333333334,-1.1,-0.6,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_13,EL_NINO,1986-08-01,1988-01-01,18,1.0611111111111111,0.5,1.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_10,LA_NINA,1988-05-01,1989-05-01,13,-1.276923076923077,-1.8,-0.6,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_14,EL_NINO,1991-05-01,1992-06-01,14,1.0142857142857142,0.5,1.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_15,EL_NINO,1994-09-01,1995-03-01,7,0.7428571428571429,0.5,1.0,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_11,LA_NINA,1995-08-01,1996-03-01,8,-0.7999999999999999,-1.0,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
EN_16,EL_NINO,1997-05-01,1998-04-01,12,1.708333333333333,0.7,2.4,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
LN_12,LA_NINA,1998-07-01,2000-07-01,25,-1.016,-1.5,-0.5,0.5,5,ERSSTv6 historical ONI table frozen 2026-09-01
