source_type,model,season_type,enso_phase,n_seasons
OBSERVED,OBSERVED,HOT_DRY,EL_NINO,8
OBSERVED,OBSERVED,HOT_DRY,LA_NINA,12
OBSERVED,OBSERVED,HOT_DRY,NEUTRAL,8
OBSERVED,OBSERVED,HOT_DRY,TRANSITION_UNCLASSIFIED,5
OBSERVED,OBSERVED,RAINY,EL_NINO,6
OBSERVED,OBSERVED,RAINY,LA_NINA,7
OBSERVED,OBSERVED,RAINY,NEUTRAL,8
OBSERVED,OBSERVED,RAINY,TRANSITION_UNCLASSIFIED,13
QDM,ACCESS-ESM1-5,HOT_DRY,EL_NINO,10
QDM,ACCESS-ESM1-5,HOT_DRY,LA_NINA,8
QDM,ACCESS-ESM1-5,HOT_DRY,NEUTRAL,12
QDM,ACCESS-ESM1-5,HOT_DRY,TRANSITION_UNCLASSIFIED,3
QDM,ACCESS-ESM1-5,RAINY,EL_NINO,4
QDM,ACCESS-ESM1-5,RAINY,LA_NINA,2
QDM,ACCESS-ESM1-5,RAINY,NEUTRAL,13
QDM,ACCESS-ESM1-5,RAINY,TRANSITION_UNCLASSIFIED,15
QDM,CESM2,HOT_DRY,EL_NINO,14
QDM,CESM2,HOT_DRY,LA_NINA,11
QDM,CESM2,HOT_DRY,NEUTRAL,5
QDM,CESM2,HOT_DRY,TRANSITION_UNCLASSIFIED,3
QDM,CESM2,RAINY,EL_NINO,11
QDM,CESM2,RAINY,LA_NINA,5
QDM,CESM2,RAINY,NEUTRAL,4
QDM,CESM2,RAINY,TRANSITION_UNCLASSIFIED,14
QDM,CanESM5,HOT_DRY,EL_NINO,6
QDM,CanESM5,HOT_DRY,LA_NINA,5
QDM,CanESM5,HOT_DRY,NEUTRAL,9
QDM,CanESM5,HOT_DRY,TRANSITION_UNCLASSIFIED,13
QDM,CanESM5,RAINY,EL_NINO,5
QDM,CanESM5,RAINY,LA_NINA,7
QDM,CanESM5,RAINY,NEUTRAL,10
QDM,CanESM5,RAINY,TRANSITION_UNCLASSIFIED,12
QDM,EC-Earth3,HOT_DRY,EL_NINO,9
QDM,EC-Earth3,HOT_DRY,LA_NINA,10
QDM,EC-Earth3,HOT_DRY,NEUTRAL,11
QDM,EC-Earth3,HOT_DRY,TRANSITION_UNCLASSIFIED,3
QDM,EC-Earth3,RAINY,EL_NINO,6
QDM,EC-Earth3,RAINY,LA_NINA,4
QDM,EC-Earth3,RAINY,NEUTRAL,10
QDM,EC-Earth3,RAINY,TRANSITION_UNCLASSIFIED,14
QDM,MIROC6,HOT_DRY,EL_NINO,11
QDM,MIROC6,HOT_DRY,LA_NINA,12
QDM,MIROC6,HOT_DRY,NEUTRAL,5
QDM,MIROC6,HOT_DRY,TRANSITION_UNCLASSIFIED,5
QDM,MIROC6,RAINY,EL_NINO,12
QDM,MIROC6,RAINY,LA_NINA,12
QDM,MIROC6,RAINY,NEUTRAL,4
QDM,MIROC6,RAINY,TRANSITION_UNCLASSIFIED,6
RAW,ACCESS-ESM1-5,HOT_DRY,EL_NINO,10
RAW,ACCESS-ESM1-5,HOT_DRY,LA_NINA,8
RAW,ACCESS-ESM1-5,HOT_DRY,NEUTRAL,12
RAW,ACCESS-ESM1-5,HOT_DRY,TRANSITION_UNCLASSIFIED,3
RAW,ACCESS-ESM1-5,RAINY,EL_NINO,4
RAW,ACCESS-ESM1-5,RAINY,LA_NINA,2
RAW,ACCESS-ESM1-5,RAINY,NEUTRAL,13
RAW,ACCESS-ESM1-5,RAINY,TRANSITION_UNCLASSIFIED,15
RAW,CESM2,HOT_DRY,EL_NINO,14
RAW,CESM2,HOT_DRY,LA_NINA,11
RAW,CESM2,HOT_DRY,NEUTRAL,5
RAW,CESM2,HOT_DRY,TRANSITION_UNCLASSIFIED,3
RAW,CESM2,RAINY,EL_NINO,11
RAW,CESM2,RAINY,LA_NINA,5
RAW,CESM2,RAINY,NEUTRAL,4
RAW,CESM2,RAINY,TRANSITION_UNCLASSIFIED,14
RAW,CanESM5,HOT_DRY,EL_NINO,6
RAW,CanESM5,HOT_DRY,LA_NINA,5
RAW,CanESM5,HOT_DRY,NEUTRAL,9
RAW,CanESM5,HOT_DRY,TRANSITION_UNCLASSIFIED,13
RAW,CanESM5,RAINY,EL_NINO,5
RAW,CanESM5,RAINY,LA_NINA,7
RAW,CanESM5,RAINY,NEUTRAL,10
RAW,CanESM5,RAINY,TRANSITION_UNCLASSIFIED,12
RAW,EC-Earth3,HOT_DRY,EL_NINO,9
RAW,EC-Earth3,HOT_DRY,LA_NINA,10
RAW,EC-Earth3,HOT_DRY,NEUTRAL,11
RAW,EC-Earth3,HOT_DRY,TRANSITION_UNCLASSIFIED,3
RAW,EC-Earth3,RAINY,EL_NINO,6
RAW,EC-Earth3,RAINY,LA_NINA,4
RAW,EC-Earth3,RAINY,NEUTRAL,10
RAW,EC-Earth3,RAINY,TRANSITION_UNCLASSIFIED,14
RAW,MIROC6,HOT_DRY,EL_NINO,11
RAW,MIROC6,HOT_DRY,LA_NINA,12
RAW,MIROC6,HOT_DRY,NEUTRAL,5
RAW,MIROC6,HOT_DRY,TRANSITION_UNCLASSIFIED,5
RAW,MIROC6,RAINY,EL_NINO,12
RAW,MIROC6,RAINY,LA_NINA,12
RAW,MIROC6,RAINY,NEUTRAL,4
RAW,MIROC6,RAINY,TRANSITION_UNCLASSIFIED,6
