source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,PRCPTOT,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,1238.70275,1423.362,-184.65925000000016,-12.973456506496602,True
RAW,RAINY,PRCPTOT,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,678.01925,768.0593846153847,-90.04013461538466,-11.7230693900672,True
RAW,RAINY,PRCPTOT,CESM2,grid_366816579f298e84,EL_NINO,11,4,832.3649090909092,955.34625,-122.98134090909082,-12.872960029841622,True
RAW,RAINY,PRCPTOT,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,618.9742727272727,680.5355000000001,-61.561227272727365,-9.045997934380699,True
RAW,RAINY,PRCPTOT,CESM2,grid_92e164725cf75def,EL_NINO,11,4,1232.2761818181818,1387.548,-155.27181818181816,-11.190374544290949,True
RAW,RAINY,PRCPTOT,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,821.7526,1097.5517000000002,-275.7991000000002,-25.12857480882223,True
RAW,RAINY,PRCPTOT,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,485.68100000000004,797.5133,-311.8322999999999,-39.10057675527166,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_54322c8bcd695ea9,EL_NINO,6,10,806.5020666666666,961.00989,-154.50782333333348,-16.077651743348184,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_aa9c230c24e29294,EL_NINO,6,10,1131.8194999999998,1398.98637,-267.16687000000024,-19.0971746207935,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_b0bcd3659d8a5c3a,EL_NINO,6,10,529.9448000000001,570.57774,-40.63293999999985,-7.121367896336063,True
RAW,RAINY,PRCPTOT,MIROC6,grid_93ab3a1ad3d3fc3b,EL_NINO,12,4,918.7923333333333,946.203,-27.410666666666657,-2.8969118325207863,True
RAW,RAINY,PRCPTOT,MIROC6,grid_da55f68884e350d6,EL_NINO,12,4,1503.9280833333335,1397.935,105.99308333333352,7.582118148077953,True
RAW,RAINY,PRCPTOT,ACCESS-ESM1-5,grid_21d480dde29ff4ec,LA_NINA,2,13,1729.1695,1423.362,,,False
RAW,RAINY,PRCPTOT,ACCESS-ESM1-5,grid_e450cbe008c0e055,LA_NINA,2,13,1020.0384999999997,768.0593846153847,,,False
RAW,RAINY,PRCPTOT,CESM2,grid_366816579f298e84,LA_NINA,5,4,1339.145,955.34625,383.7987499999999,40.17378515904573,True
RAW,RAINY,PRCPTOT,CESM2,grid_52ecc812ca873fb0,LA_NINA,5,4,1002.7403999999999,680.5355000000001,322.20489999999984,47.34578872079411,True
RAW,RAINY,PRCPTOT,CESM2,grid_92e164725cf75def,LA_NINA,5,4,1772.2846000000002,1387.548,384.7366000000002,27.727804731800283,True
RAW,RAINY,PRCPTOT,CanESM5,grid_b9e4c92f2230d843,LA_NINA,7,10,1278.6471428571426,1097.5517000000002,181.09544285714242,16.499946458753822,True
RAW,RAINY,PRCPTOT,CanESM5,grid_ee53d9b7e1b78404,LA_NINA,7,10,854.6648571428572,797.5133,57.1515571428572,7.166219941768645,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_54322c8bcd695ea9,LA_NINA,4,10,1032.4507999999998,961.00989,71.4409099999998,7.433941184517861,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_aa9c230c24e29294,LA_NINA,4,10,1467.138,1398.98637,68.15162999999984,4.871500642282872,True
RAW,RAINY,PRCPTOT,EC-Earth3,grid_b0bcd3659d8a5c3a,LA_NINA,4,10,645.3901,570.57774,74.81236000000001,13.11168570999633,True
RAW,RAINY,PRCPTOT,MIROC6,grid_93ab3a1ad3d3fc3b,LA_NINA,12,4,1177.5354166666666,946.203,231.33241666666663,24.448497485916512,True
RAW,RAINY,PRCPTOT,MIROC6,grid_da55f68884e350d6,LA_NINA,12,4,1565.87875,1397.935,167.94375000000014,12.013702353829052,True
RAW,RAINY,wet_day_frequency_pct,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,81.65760869565219,78.80434782608697,2.8532608695652186,3.620689655172415,True
RAW,RAINY,wet_day_frequency_pct,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,64.80978260869566,65.09197324414716,-0.28219063545149936,-0.433526011560685,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_366816579f298e84,EL_NINO,11,4,61.462450592885375,65.35326086956522,-3.8908102766798436,-5.953505953505956,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_52ecc812ca873fb0,EL_NINO,11,4,51.92687747035573,55.16304347826087,-3.2361660079051404,-5.8665472458575945,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_92e164725cf75def,EL_NINO,11,4,73.86363636363636,76.63043478260869,-2.7667984189723285,-3.6105738233397764,True
RAW,RAINY,wet_day_frequency_pct,CanESM5,grid_b9e4c92f2230d843,EL_NINO,5,10,56.95652173913042,63.75,-6.793478260869577,-10.656436487638551,True
RAW,RAINY,wet_day_frequency_pct,CanESM5,grid_ee53d9b7e1b78404,EL_NINO,5,10,35.108695652173914,50.05434782608695,-14.94565217391304,-29.858849077090117,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_54322c8bcd695ea9,EL_NINO,6,10,69.38405797101449,74.8913043478261,-5.507246376811608,-7.353652636671523,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_aa9c230c24e29294,EL_NINO,6,10,76.53985507246377,82.33695652173914,-5.797101449275374,-7.040704070407054,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_b0bcd3659d8a5c3a,EL_NINO,6,10,58.242753623188406,62.06521739130435,-3.822463768115945,-6.158785755983659,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_93ab3a1ad3d3fc3b,EL_NINO,12,4,76.26811594202898,74.86413043478261,1.4039855072463752,1.8753781004234702,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_da55f68884e350d6,EL_NINO,12,4,88.63224637681158,87.3641304347826,1.2681159420289845,1.4515292897874537,True
RAW,RAINY,wet_day_frequency_pct,ACCESS-ESM1-5,grid_21d480dde29ff4ec,LA_NINA,2,13,88.31521739130434,78.80434782608697,,,False
RAW,RAINY,wet_day_frequency_pct,ACCESS-ESM1-5,grid_e450cbe008c0e055,LA_NINA,2,13,70.65217391304348,65.09197324414716,,,False
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_366816579f298e84,LA_NINA,5,4,71.52173913043478,65.35326086956522,6.168478260869563,9.438669438669434,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_52ecc812ca873fb0,LA_NINA,5,4,63.69565217391305,55.16304347826087,8.53260869565218,15.467980295566512,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_92e164725cf75def,LA_NINA,5,4,79.56521739130434,76.63043478260869,2.934782608695656,3.8297872340425583,True
RAW,RAINY,wet_day_frequency_pct,CanESM5,grid_b9e4c92f2230d843,LA_NINA,7,10,69.95341614906832,63.75,6.2034161490683175,9.730848861283635,True
RAW,RAINY,wet_day_frequency_pct,CanESM5,grid_ee53d9b7e1b78404,LA_NINA,7,10,55.43478260869564,50.05434782608695,5.380434782608688,10.749185667752428,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_54322c8bcd695ea9,LA_NINA,4,10,76.90217391304348,74.8913043478261,2.0108695652173907,2.6850507982583443,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_aa9c230c24e29294,LA_NINA,4,10,83.69565217391305,82.33695652173914,1.3586956521739069,1.6501650165016424,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_b0bcd3659d8a5c3a,LA_NINA,4,10,64.67391304347827,62.06521739130435,2.608695652173914,4.203152364273206,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_93ab3a1ad3d3fc3b,LA_NINA,12,4,78.71376811594203,74.86413043478261,3.8496376811594217,5.142165759225652,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_da55f68884e350d6,LA_NINA,12,4,89.31159420289855,87.3641304347826,1.9474637681159521,2.2291342664593174,True
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_21d480dde29ff4ec,EL_NINO,4,13,52.6525,71.62299999999999,-18.970499999999987,-26.486603465367256,True
RAW,RAINY,Rx1day,ACCESS-ESM1-5,grid_e450cbe008c0e055,EL_NINO,4,13,53.903,64.78699999999999,-10.883999999999993,-16.799666599780814,True
RAW,RAINY,Rx1day,CESM2,grid_366816579f298e84,EL_NINO,11,4,48.78745454545454,43.027,5.760454545454536,13.387999501370153,True
