source_type,season_type,metric,phase,model,response_absolute,response_pct,n_grid_signatures,n_phase,n_neutral
RAW,RAINY,PRCPTOT,EL_NINO,ACCESS-ESM1-5,-137.3496923076924,-12.348262948281901,2,4,13
RAW,RAINY,PRCPTOT,EL_NINO,CESM2,-122.98134090909082,-11.190374544290949,3,11,4
RAW,RAINY,PRCPTOT,EL_NINO,CanESM5,-293.81570000000005,-32.11457578204694,2,5,10
RAW,RAINY,PRCPTOT,EL_NINO,EC-Earth3,-154.50782333333348,-16.077651743348184,3,6,10
RAW,RAINY,PRCPTOT,EL_NINO,MIROC6,39.29120833333343,2.3426031577785835,2,12,4
RAW,RAINY,PRCPTOT,LA_NINA,CESM2,383.7987499999999,40.17378515904573,3,5,4
RAW,RAINY,PRCPTOT,LA_NINA,CanESM5,119.12349999999981,11.833083200261234,2,7,10
RAW,RAINY,PRCPTOT,LA_NINA,EC-Earth3,71.4409099999998,7.433941184517861,3,4,10
RAW,RAINY,PRCPTOT,LA_NINA,MIROC6,199.63808333333338,18.231099919872783,2,12,4
RAW,RAINY,wet_day_frequency_pct,EL_NINO,ACCESS-ESM1-5,1.2855351170568596,1.593581821805865,2,4,13
RAW,RAINY,wet_day_frequency_pct,EL_NINO,CESM2,-3.2361660079051404,-5.8665472458575945,3,11,4
RAW,RAINY,wet_day_frequency_pct,EL_NINO,CanESM5,-10.869565217391308,-20.257642782364336,2,5,10
RAW,RAINY,wet_day_frequency_pct,EL_NINO,EC-Earth3,-5.507246376811608,-7.040704070407054,3,6,10
RAW,RAINY,wet_day_frequency_pct,EL_NINO,MIROC6,1.3360507246376798,1.663453695105462,2,12,4
RAW,RAINY,wet_day_frequency_pct,LA_NINA,CESM2,6.168478260869563,9.438669438669434,3,5,4
RAW,RAINY,wet_day_frequency_pct,LA_NINA,CanESM5,5.791925465838503,10.24001726451803,2,7,10
RAW,RAINY,wet_day_frequency_pct,LA_NINA,EC-Earth3,2.0108695652173907,2.6850507982583443,3,4,10
RAW,RAINY,wet_day_frequency_pct,LA_NINA,MIROC6,2.898550724637687,3.685650012842485,2,12,4
RAW,RAINY,Rx1day,EL_NINO,ACCESS-ESM1-5,-14.92724999999999,-21.643135032574037,2,4,13
RAW,RAINY,Rx1day,EL_NINO,CESM2,5.760454545454536,13.387999501370153,3,11,4
RAW,RAINY,Rx1day,EL_NINO,CanESM5,-10.03435,-15.51358183223962,2,5,10
RAW,RAINY,Rx1day,EL_NINO,EC-Earth3,-1.549833333333332,-5.411901644114647,3,6,10
RAW,RAINY,Rx1day,EL_NINO,MIROC6,11.433625,33.14118324318193,2,12,4
RAW,RAINY,Rx1day,LA_NINA,CESM2,8.840399999999995,20.546168684779314,3,5,4
RAW,RAINY,Rx1day,LA_NINA,CanESM5,3.3105928571428542,2.0921519296735953,2,7,10
RAW,RAINY,Rx1day,LA_NINA,EC-Earth3,3.5213,10.772363887810597,3,4,10
RAW,RAINY,Rx1day,LA_NINA,MIROC6,17.521750000000004,50.0661619155848,2,12,4
RAW,RAINY,CDD,EL_NINO,ACCESS-ESM1-5,-1.1153846153846159,-12.402343750000004,2,4,13
RAW,RAINY,CDD,EL_NINO,CESM2,1.295454545454545,14.004914004914001,3,11,4
RAW,RAINY,CDD,EL_NINO,CanESM5,3.7,25.825825825825827,2,5,10
RAW,RAINY,CDD,EL_NINO,EC-Earth3,1.4666666666666686,8.058608058608069,3,6,10
RAW,RAINY,CDD,EL_NINO,MIROC6,0.24999999999999956,5.670995670995664,2,12,4
RAW,RAINY,CDD,LA_NINA,CESM2,4.550000000000001,37.142857142857146,3,5,4
RAW,RAINY,CDD,LA_NINA,CanESM5,-1.2714285714285714,-11.304161304161305,2,7,10
RAW,RAINY,CDD,LA_NINA,EC-Earth3,1.0500000000000007,5.769230769230774,3,4,10
RAW,RAINY,CDD,LA_NINA,MIROC6,-0.5,-5.714285714285714,2,12,4
RAW,RAINY,Rx5day,EL_NINO,ACCESS-ESM1-5,-48.79914423076922,-27.030181206582537,2,4,13
RAW,RAINY,Rx5day,EL_NINO,CESM2,29.464522727272737,28.20576973827775,3,11,4
RAW,RAINY,Rx5day,EL_NINO,CanESM5,-13.796749999999996,-11.84778028008345,2,5,10
RAW,RAINY,Rx5day,EL_NINO,EC-Earth3,-1.6803733333333355,-2.0170117951369795,3,6,10
RAW,RAINY,Rx5day,EL_NINO,MIROC6,38.55529166666664,36.80187112938012,2,12,4
RAW,RAINY,Rx5day,LA_NINA,CESM2,49.12885,40.913613818143155,3,5,4
RAW,RAINY,Rx5day,LA_NINA,CanESM5,9.023107142857157,5.397469206329749,2,7,10
RAW,RAINY,Rx5day,LA_NINA,EC-Earth3,1.0487700000000046,1.0164261114266624,3,4,10
RAW,RAINY,Rx5day,LA_NINA,MIROC6,28.2394166666667,27.261955144568283,2,12,4
RAW,RAINY,CWD,EL_NINO,ACCESS-ESM1-5,2.7115384615384635,7.201360993881467,2,4,13
RAW,RAINY,CWD,EL_NINO,CESM2,-5.727272727272727,-28.636363636363633,3,11,4
RAW,RAINY,CWD,EL_NINO,CanESM5,-2.1499999999999986,-7.227043822993672,2,5,10
RAW,RAINY,CWD,EL_NINO,EC-Earth3,-5.433333333333323,-16.111111111111107,3,6,10
RAW,RAINY,CWD,EL_NINO,MIROC6,-1.0833333333333321,-6.0244423433834084,2,12,4
RAW,RAINY,CWD,LA_NINA,CESM2,-0.1999999999999993,-0.9999999999999964,3,5,4
RAW,RAINY,CWD,LA_NINA,CanESM5,3.507142857142858,17.141938742710202,2,7,10
RAW,RAINY,CWD,LA_NINA,EC-Earth3,6.75,15.11857707509881,3,4,10
RAW,RAINY,CWD,LA_NINA,MIROC6,-7.583333333333332,-13.701019014602371,2,12,4
