station,year,month,monthly_total_mm,neighbour_median_mm,neighbour_fraction_wet,own_climatology_median_mm,max_zero_run_days,annual_total_mm,I1_exact_zero,I2_region_wet,I3_neighbours_wet,I4_month_normally_wet,I5_long_zero_run,I6_annual_deficit,n_indicators,classification
500001,1981,1,0.0,1.0,0.0,0.0,118,446.5,True,False,False,False,True,True,2,confirmed_zero
500002,1981,1,0.0,1.0,0.0,1.7,83,1298.5,True,False,False,False,True,False,1,confirmed_zero
500003,1981,1,0.0,1.0,0.0,0.0,81,1301.3,True,False,False,False,True,False,1,confirmed_zero
500004,1981,1,0.0,1.0,0.0,1.2,81,1240.8,True,False,False,False,True,False,1,confirmed_zero
500005,1981,1,1.0,0.8,0.0,6.35,10,1281.5,False,False,False,False,False,False,0,not_zero
500006,1981,1,1.1,0.8,0.0,7.35,10,1281.8,False,False,False,False,False,False,0,not_zero
500007,1981,1,1.0,0.8,0.0,7.8,10,1243.7,False,False,False,False,False,False,0,not_zero
500008,1981,1,2.1,0.8,0.0,9.7,7,1317.1,False,False,False,False,False,False,0,not_zero
500009,1981,1,1.5,0.8,0.0,8.05,7,1159.2,False,False,False,False,False,False,0,not_zero
500201,1981,1,0.8,1.0,0.0,5.2,30,1197.2,False,False,False,False,False,False,0,not_zero
500202,1981,1,1.2,0.8,0.0,2.1,22,1045.4,False,False,False,False,False,False,0,not_zero
500301,1981,1,0.0,1.0,0.0,3.3,31,1530.2,True,False,False,False,False,False,0,confirmed_zero
500001,1981,2,0.0,15.9,0.7272727272727273,0.05,118,446.5,True,False,False,False,True,True,2,confirmed_zero
500002,1981,2,0.0,15.9,0.7272727272727273,2.3499999999999996,83,1298.5,True,False,False,False,True,False,1,confirmed_zero
500003,1981,2,0.0,15.9,0.7272727272727273,1.1,81,1301.3,True,False,False,False,True,False,1,confirmed_zero
500004,1981,2,0.0,15.9,0.7272727272727273,2.1,81,1240.8,True,False,False,False,True,False,1,confirmed_zero
500005,1981,2,15.9,13.4,0.6363636363636364,8.4,6,1281.5,False,False,False,False,False,False,0,not_zero
500006,1981,2,17.6,13.4,0.6363636363636364,10.75,6,1281.8,False,False,False,False,False,False,0,not_zero
500007,1981,2,49.8,13.4,0.6363636363636364,13.3,11,1243.7,False,False,False,False,False,False,0,not_zero
500008,1981,2,16.3,13.4,0.6363636363636364,9.8,5,1317.1,False,False,False,False,False,False,0,not_zero
500009,1981,2,13.4,15.9,0.6363636363636364,10.05,6,1159.2,False,False,False,False,False,False,0,not_zero
500201,1981,2,91.19999999999999,13.4,0.6363636363636364,19.75,25,1197.2,False,False,False,False,False,False,0,not_zero
500202,1981,2,5.8999999999999995,15.9,0.6363636363636364,1.5,20,1045.4,False,False,False,False,False,False,0,not_zero
500301,1981,2,21.8,13.4,0.6363636363636364,2.3,16,1530.2,False,False,False,False,False,False,0,not_zero
500001,1981,3,0.0,19.1,0.7272727272727273,6.4,118,446.5,True,False,False,False,True,True,2,uncertain
500002,1981,3,4.8,19.1,0.7272727272727273,28.25,83,1298.5,False,False,False,True,True,False,2,not_zero
500003,1981,3,2.2,19.1,0.7272727272727273,16.45,81,1301.3,False,False,False,False,True,False,1,not_zero
500004,1981,3,14.0,19.1,0.6363636363636364,13.25,81,1240.8,False,False,False,False,True,False,1,not_zero
500005,1981,3,19.1,17.0,0.6363636363636364,25.85,6,1281.5,False,False,False,True,False,False,1,not_zero
500006,1981,3,19.5,17.0,0.6363636363636364,28.0,6,1281.8,False,False,False,True,False,False,1,not_zero
