model,member_id,grid_label,station,grid_signature
ACCESS-ESM1-5,r1i1p1f1,gn,500001,grid_e450cbe008c0e055
ACCESS-ESM1-5,r1i1p1f1,gn,500002,grid_21d480dde29ff4ec
ACCESS-ESM1-5,r1i1p1f1,gn,500003,grid_e450cbe008c0e055
ACCESS-ESM1-5,r1i1p1f1,gn,500004,grid_21d480dde29ff4ec
ACCESS-ESM1-5,r1i1p1f1,gn,500005,grid_21d480dde29ff4ec
ACCESS-ESM1-5,r1i1p1f1,gn,500006,grid_21d480dde29ff4ec
ACCESS-ESM1-5,r1i1p1f1,gn,500007,grid_e450cbe008c0e055
ACCESS-ESM1-5,r1i1p1f1,gn,500008,grid_e450cbe008c0e055
ACCESS-ESM1-5,r1i1p1f1,gn,500009,grid_e450cbe008c0e055
ACCESS-ESM1-5,r1i1p1f1,gn,500201,grid_21d480dde29ff4ec
ACCESS-ESM1-5,r1i1p1f1,gn,500202,grid_e450cbe008c0e055
ACCESS-ESM1-5,r1i1p1f1,gn,500301,grid_e450cbe008c0e055
CESM2,r11i1p1f1,gn,500001,grid_52ecc812ca873fb0
CESM2,r11i1p1f1,gn,500002,grid_92e164725cf75def
CESM2,r11i1p1f1,gn,500003,grid_366816579f298e84
CESM2,r11i1p1f1,gn,500004,grid_366816579f298e84
CESM2,r11i1p1f1,gn,500005,grid_366816579f298e84
CESM2,r11i1p1f1,gn,500006,grid_366816579f298e84
CESM2,r11i1p1f1,gn,500007,grid_366816579f298e84
CESM2,r11i1p1f1,gn,500008,grid_52ecc812ca873fb0
CESM2,r11i1p1f1,gn,500009,grid_366816579f298e84
CESM2,r11i1p1f1,gn,500201,grid_366816579f298e84
CESM2,r11i1p1f1,gn,500202,grid_52ecc812ca873fb0
CESM2,r11i1p1f1,gn,500301,grid_52ecc812ca873fb0
CanESM5,r1i1p1f1,gn,500001,grid_ee53d9b7e1b78404
CanESM5,r1i1p1f1,gn,500002,grid_b9e4c92f2230d843
CanESM5,r1i1p1f1,gn,500003,grid_ee53d9b7e1b78404
CanESM5,r1i1p1f1,gn,500004,grid_b9e4c92f2230d843
CanESM5,r1i1p1f1,gn,500005,grid_b9e4c92f2230d843
CanESM5,r1i1p1f1,gn,500006,grid_b9e4c92f2230d843
CanESM5,r1i1p1f1,gn,500007,grid_b9e4c92f2230d843
CanESM5,r1i1p1f1,gn,500008,grid_b9e4c92f2230d843
CanESM5,r1i1p1f1,gn,500009,grid_ee53d9b7e1b78404
CanESM5,r1i1p1f1,gn,500201,grid_b9e4c92f2230d843
CanESM5,r1i1p1f1,gn,500202,grid_ee53d9b7e1b78404
CanESM5,r1i1p1f1,gn,500301,grid_b9e4c92f2230d843
EC-Earth3,r1i1p1f1,gr,500001,grid_b0bcd3659d8a5c3a
EC-Earth3,r1i1p1f1,gr,500002,grid_aa9c230c24e29294
EC-Earth3,r1i1p1f1,gr,500003,grid_b0bcd3659d8a5c3a
EC-Earth3,r1i1p1f1,gr,500004,grid_54322c8bcd695ea9
EC-Earth3,r1i1p1f1,gr,500005,grid_54322c8bcd695ea9
EC-Earth3,r1i1p1f1,gr,500006,grid_54322c8bcd695ea9
EC-Earth3,r1i1p1f1,gr,500007,grid_54322c8bcd695ea9
EC-Earth3,r1i1p1f1,gr,500008,grid_b0bcd3659d8a5c3a
EC-Earth3,r1i1p1f1,gr,500009,grid_b0bcd3659d8a5c3a
EC-Earth3,r1i1p1f1,gr,500201,grid_54322c8bcd695ea9
EC-Earth3,r1i1p1f1,gr,500202,grid_b0bcd3659d8a5c3a
EC-Earth3,r1i1p1f1,gr,500301,grid_b0bcd3659d8a5c3a
MIROC6,r1i1p1f1,gn,500001,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500002,grid_da55f68884e350d6
MIROC6,r1i1p1f1,gn,500003,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500004,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500005,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500006,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500007,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500008,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500009,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500201,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500202,grid_93ab3a1ad3d3fc3b
MIROC6,r1i1p1f1,gn,500301,grid_93ab3a1ad3d3fc3b
