season_type,climate_year,season_start,season_end,enso_phase,index_mean_c,index_min_c,index_max_c,n_overlapping_windows,n_el_nino_windows,n_la_nina_windows,n_neutral_windows,classification_rule,model,member_id,index_source,season_id
RAINY,1981,1981-05-01,1981-10-31,NEUTRAL,0.01861625,-0.167637,0.192051,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1981_RAIN
HOT_DRY,1981,1981-11-01,1982-04-30,NEUTRAL,-0.4287115,-0.896711,0.096487,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1981_82_HOT_DRY
RAINY,1982,1982-05-01,1982-10-31,NEUTRAL,-0.23653962500000003,-0.896711,0.202571,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1982_RAIN
HOT_DRY,1982,1982-11-01,1983-04-30,TRANSITION_UNCLASSIFIED,0.366514625,0.1424,0.694202,8,3,0,5,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1982_83_HOT_DRY
RAINY,1983,1983-05-01,1983-10-31,EL_NINO,1.0517121249999999,0.693365,1.6211,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1983_RAIN
HOT_DRY,1983,1983-11-01,1984-04-30,EL_NINO,1.357970125,0.680356,1.882861,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1983_84_HOT_DRY
RAINY,1984,1984-05-01,1984-10-31,TRANSITION_UNCLASSIFIED,0.364574875,-0.404781,0.742879,8,4,0,4,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1984_RAIN
HOT_DRY,1984,1984-11-01,1985-04-30,LA_NINA,-0.8743522499999999,-1.407362,-0.090174,8,0,6,2,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1984_85_HOT_DRY
RAINY,1985,1985-05-01,1985-10-31,LA_NINA,-0.8452018750000001,-1.299736,-0.648284,8,0,8,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1985_RAIN
HOT_DRY,1985,1985-11-01,1986-04-30,LA_NINA,-0.43996599999999997,-0.959181,0.354898,8,0,5,3,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1985_86_HOT_DRY
