Station_ID,P95_Thresh_81_10,P95_Thresh_95_14,Diff_P95_Thresh,Mean_R95p_81_10,Mean_R95p_95_14,Diff_R95p_Mean,Mean_R99p_81_10,Mean_R99p_95_14,Diff_R99p_Mean
351001,44.28,41.33,-2.95,267.16,289.75,22.58,98.71,118.05,19.34
351002,40.5,44.08,3.58,250.4,223.07,-27.33,79.64,62.04,-17.61
351003,45.58,30.88,-14.7,305.57,487.6,182.04,97.34,176.27,78.94
351004,42.2,42.95,0.75,270.99,264.72,-6.27,101.49,79.95,-21.54
351005,44.09,35.71,-8.38,253.12,340.67,87.55,73.86,112.54,38.69
351006,17.41,21.1,3.69,325.57,249.87,-75.7,143.17,76.47,-66.7
351007,16.9,21.8,4.9,338.26,248.97,-89.29,155.75,84.79,-70.96
351008,17.2,20.5,3.3,313.34,259.86,-53.48,130.61,92.78,-37.83
351009,12.7,12.7,0.0,200.14,200.14,0.0,63.22,62.07,-1.15
351010,13.8,13.5,-0.3,198.34,209.22,10.89,59.6,56.41,-3.19
351011,41.9,42.4,0.5,323.8,317.59,-6.21,129.66,121.88,-7.79
351012,45.0,43.23,-1.77,282.05,292.39,10.34,99.36,99.36,0.0
351201,40.18,40.02,-0.15,291.18,293.54,2.36,100.95,94.19,-6.76
