GCM,Scenario,Hist_1995_2014_mm,Fut_2021_2050_mm,Delta_mm,Delta_pct
ACCESS-ESM1-5,ssp245,1070.21,1036.07,-34.15,-3.19
ACCESS-ESM1-5,ssp585,1070.21,1069.57,-0.64,-0.06
CESM2,ssp245,1149.62,1102.05,-47.57,-4.14
CESM2,ssp585,1149.62,1025.91,-123.71,-10.76
CanESM5,ssp245,936.96,994.71,57.75,6.16
CanESM5,ssp585,936.96,965.05,28.09,3.0
EC-Earth3,ssp245,1160.04,1103.21,-56.83,-4.9
EC-Earth3,ssp585,1160.04,1254.08,94.04,8.11
FGOALS-g3,ssp245,1035.41,1215.97,180.56,17.44
FGOALS-g3,ssp585,1035.41,1189.25,153.84,14.86
MIROC6,ssp245,1129.76,1164.3,34.54,3.06
MIROC6,ssp585,1129.76,1132.89,3.13,0.28
MRI-ESM2-0,ssp245,997.34,1028.22,30.88,3.1
MRI-ESM2-0,ssp585,997.34,924.49,-72.85,-7.3
Multi-Model Ensemble Mean,ssp245,1068.48,1092.08,23.6,2.21
Multi-Model Ensemble Mean,ssp585,1068.48,1080.18,11.7,1.1
