Station_ID,District,Mean_Annual_mm,Wet_Season_mm,Dry_Season_mm,Wet_Season_pct
351001,Phichai,995.65,817.15,178.5,82.1
351002,Tron,1053.8,874.04,179.76,82.9
351003,Tha Pla,1425.06,1144.43,280.64,80.3
351004,Laplae,1085.21,878.59,206.62,81.0
351005,Mueang Uttaradit (West),1121.0,870.95,250.06,77.7
351006,Nam Pat,1129.59,861.29,268.3,76.2
351007,Fak Tha,1221.05,899.64,321.42,73.7
351008,Thong Saen Khan,1146.01,842.19,303.82,73.5
351009,Laplae (North),1223.36,986.77,236.59,80.7
351010,Nam Pat (Valley),1204.22,972.69,231.53,80.8
351011,Mueang Uttaradit (South),1159.21,793.03,366.18,68.4
351012,Ban Khok,947.71,711.88,235.84,75.1
351201,Uttaradit (Agromet/Synoptic),1105.59,876.41,229.18,79.3
