station_id,PRCPTOT,SDII,Rx1day,Rx5day,CDD,CWD,R10mm,R20mm,R50mm,R95p,R99p
351001,985.59,12.5,101.23,174.42,58.88,8.29,28.68,15.5,2.97,289.75,118.05
351002,976.74,13.26,75.47,137.89,70.12,12.65,30.0,14.97,2.62,223.07,62.04
351003,1366.07,13.83,87.61,146.44,55.71,33.0,40.26,18.82,3.68,487.6,176.27
351004,1093.65,13.1,89.49,148.51,65.26,7.38,33.09,17.18,2.5,264.72,79.95
351005,1098.19,12.7,77.34,137.95,60.21,13.97,33.12,15.68,2.85,340.67,112.54
351006,1113.98,7.76,48.1,109.3,41.94,49.68,28.74,8.26,0.82,249.87,76.47
351007,1172.96,7.7,51.11,110.97,38.74,52.56,29.79,8.0,0.88,248.97,84.79
351008,1096.33,6.83,62.87,117.33,39.76,35.71,28.21,7.65,1.03,259.86,92.78
351009,1169.36,5.12,29.32,79.45,34.94,86.06,25.18,2.12,0.06,200.14,62.07
351010,1137.55,5.19,28.96,79.55,34.94,68.15,26.53,2.79,0.09,209.22,56.41
351011,1094.14,12.17,113.92,185.56,43.88,10.09,31.74,15.26,2.85,317.59,121.88
351012,930.26,11.95,109.66,193.37,55.53,8.0,25.94,12.91,3.18,292.39,99.36
351201,1050.55,11.46,91.94,166.27,53.06,8.85,30.53,15.06,2.91,293.54,94.19
