source_type,model,season_type,station,index,A_LaNina_pct,A_ElNino_pct,ASYM_pct,A_LaNina_abs,A_ElNino_abs,ASYM_abs
OBSERVED,OBSERVED,HOT_DRY,351001,CDD,9.2,38.29,-29.09,6.4,26.65,-20.25
OBSERVED,OBSERVED,HOT_DRY,351001,CWD,48.15,-25.0,73.15,1.444,-0.75,2.194
OBSERVED,OBSERVED,HOT_DRY,351001,PRCPTOT,-7.56,-17.19,9.63,-15.34,-34.89,19.55
OBSERVED,OBSERVED,HOT_DRY,351001,R20mm,3.7,-8.33,12.03,0.111,-0.25,0.361
OBSERVED,OBSERVED,HOT_DRY,351001,R50mm,29.63,66.67,-37.04,0.178,0.4,-0.222
OBSERVED,OBSERVED,HOT_DRY,351001,R95p,-39.89,14.32,-54.21,-32.293,11.59,-43.883
OBSERVED,OBSERVED,HOT_DRY,351001,R99p,-82.98,-35.28,-47.7,-49.907,-21.215,-28.692
OBSERVED,OBSERVED,HOT_DRY,351001,Rx1day,-39.39,-7.4,-31.99,-32.587,-6.12,-26.467
OBSERVED,OBSERVED,HOT_DRY,351001,Rx5day,-21.33,6.48,-27.81,-21.156,6.425,-27.581
OBSERVED,OBSERVED,HOT_DRY,351001,SDII,-26.11,112.83,-138.94,-4.434,19.164,-23.598
OBSERVED,OBSERVED,HOT_DRY,351001,wet_day_freq,9.33,-32.13,41.46,0.721,-2.485,3.206
OBSERVED,OBSERVED,HOT_DRY,351002,CDD,8.71,-14.96,23.67,7.244,-12.45,19.694
OBSERVED,OBSERVED,HOT_DRY,351002,CWD,29.63,-8.33,37.96,0.889,-0.25,1.139
OBSERVED,OBSERVED,HOT_DRY,351002,PRCPTOT,10.23,8.42,1.81,17.389,14.3,3.089
OBSERVED,OBSERVED,HOT_DRY,351002,R20mm,48.15,52.78,-4.63,0.867,0.95,-0.083
OBSERVED,OBSERVED,HOT_DRY,351002,R50mm,38.89,87.5,-48.61,0.156,0.35,-0.194
OBSERVED,OBSERVED,HOT_DRY,351002,R95p,70.43,173.37,-102.94,21.016,51.735,-30.719
OBSERVED,OBSERVED,HOT_DRY,351002,R99p,-45.93,229.03,-274.96,-8.267,41.225,-49.492
OBSERVED,OBSERVED,HOT_DRY,351002,Rx1day,17.1,57.18,-40.08,7.547,25.23,-17.683
OBSERVED,OBSERVED,HOT_DRY,351002,Rx5day,37.59,21.04,16.55,22.793,12.76,10.033
OBSERVED,OBSERVED,HOT_DRY,351002,SDII,5.01,55.72,-50.71,0.593,6.598,-6.005
OBSERVED,OBSERVED,HOT_DRY,351002,wet_day_freq,10.12,-25.68,35.8,0.771,-1.956,2.727
OBSERVED,OBSERVED,HOT_DRY,351003,CDD,-2.45,-22.03,19.58,-1.444,-13.0,11.556
OBSERVED,OBSERVED,HOT_DRY,351003,CWD,-22.22,-60.42,38.2,-2.667,-7.25,4.583
OBSERVED,OBSERVED,HOT_DRY,351003,PRCPTOT,13.62,-23.12,36.74,37.016,-62.84,99.856
OBSERVED,OBSERVED,HOT_DRY,351003,R20mm,19.05,-37.5,56.55,0.533,-1.05,1.583
OBSERVED,OBSERVED,HOT_DRY,351003,R50mm,-16.67,25.0,-41.67,-0.067,0.1,-0.167
OBSERVED,OBSERVED,HOT_DRY,351003,R95p,83.47,51.56,31.91,22.469,13.88,8.589
OBSERVED,OBSERVED,HOT_DRY,351003,R99p,-47.88,-100.0,52.12,-7.431,-15.52,8.089
OBSERVED,OBSERVED,HOT_DRY,351003,Rx1day,1.36,-23.73,25.09,0.589,-10.275,10.864
OBSERVED,OBSERVED,HOT_DRY,351003,Rx5day,-13.94,-44.55,30.61,-12.162,-38.865,26.703
OBSERVED,OBSERVED,HOT_DRY,351003,SDII,34.12,-7.06,41.18,2.982,-0.617,3.599
OBSERVED,OBSERVED,HOT_DRY,351003,wet_day_freq,9.3,-24.73,34.03,2.117,-5.627,7.744
OBSERVED,OBSERVED,HOT_DRY,351004,CDD,-7.67,-25.3,17.63,-6.444,-21.25,14.806
OBSERVED,OBSERVED,HOT_DRY,351004,CWD,-10.05,-34.52,24.47,-0.422,-1.45,1.028
OBSERVED,OBSERVED,HOT_DRY,351004,PRCPTOT,-8.7,-21.25,12.55,-20.549,-50.185,29.636
OBSERVED,OBSERVED,HOT_DRY,351004,R20mm,38.89,-10.71,49.6,1.089,-0.3,1.389
OBSERVED,OBSERVED,HOT_DRY,351004,R50mm,-44.44,-37.5,-6.94,-0.356,-0.3,-0.056
OBSERVED,OBSERVED,HOT_DRY,351004,R95p,-46.55,-50.56,4.01,-46.464,-50.47,4.006
OBSERVED,OBSERVED,HOT_DRY,351004,R99p,-50.12,-52.01,1.89,-26.211,-27.2,0.989
OBSERVED,OBSERVED,HOT_DRY,351004,Rx1day,-21.59,-22.16,0.57,-15.287,-15.695,0.408
OBSERVED,OBSERVED,HOT_DRY,351004,Rx5day,-9.1,-36.48,27.38,-9.402,-37.68,28.278
OBSERVED,OBSERVED,HOT_DRY,351004,SDII,-2.13,-22.04,19.91,-0.336,-3.475,3.139
OBSERVED,OBSERVED,HOT_DRY,351004,wet_day_freq,1.61,7.68,-6.07,0.128,0.61,-0.482
OBSERVED,OBSERVED,HOT_DRY,351005,CDD,-1.95,-1.91,-0.04,-1.378,-1.35,-0.028
OBSERVED,OBSERVED,HOT_DRY,351005,CWD,-41.8,-61.31,19.51,-3.511,-5.15,1.639
OBSERVED,OBSERVED,HOT_DRY,351005,PRCPTOT,21.64,-40.47,62.11,52.487,-98.18,150.667
OBSERVED,OBSERVED,HOT_DRY,351005,R20mm,14.38,-48.53,62.91,0.489,-1.65,2.139
OBSERVED,OBSERVED,HOT_DRY,351005,R50mm,122.22,-100.0,222.22,0.489,-0.4,0.889
OBSERVED,OBSERVED,HOT_DRY,351005,R95p,283.17,-56.06,339.23,72.662,-14.385,87.047
OBSERVED,OBSERVED,HOT_DRY,351005,R99p,0.0,0.0,0.0,47.933,0.0,47.933
OBSERVED,OBSERVED,HOT_DRY,351005,Rx1day,37.35,-24.97,62.32,16.276,-10.88,27.156
