season_type,ENSO_phase,station,index,observed_pct_response,raw_dir_agreement,qdm_dir_agreement
HOT_DRY,EL_NINO,351001,CDD,38.29,0.57,0.43
HOT_DRY,EL_NINO,351001,CWD,-25.0,0.43,0.43
HOT_DRY,EL_NINO,351001,PRCPTOT,-17.19,0.57,0.14
HOT_DRY,EL_NINO,351001,R20mm,-8.33,0.43,0.14
HOT_DRY,EL_NINO,351001,R50mm,66.67,0.0,0.43
HOT_DRY,EL_NINO,351001,R95p,14.32,0.0,0.57
HOT_DRY,EL_NINO,351001,R99p,-35.28,0.0,0.43
HOT_DRY,EL_NINO,351001,Rx1day,-7.4,0.57,0.29
HOT_DRY,EL_NINO,351001,Rx5day,6.48,0.43,0.57
HOT_DRY,EL_NINO,351001,SDII,112.83,0.43,0.71
HOT_DRY,EL_NINO,351001,wet_day_freq,-32.13,0.14,0.29
HOT_DRY,EL_NINO,351002,CDD,-14.96,0.43,0.43
HOT_DRY,EL_NINO,351002,CWD,-8.33,0.43,0.43
HOT_DRY,EL_NINO,351002,PRCPTOT,8.42,0.43,0.71
HOT_DRY,EL_NINO,351002,R20mm,52.78,0.57,0.71
HOT_DRY,EL_NINO,351002,R50mm,87.5,0.0,0.29
HOT_DRY,EL_NINO,351002,R95p,173.37,0.0,0.29
HOT_DRY,EL_NINO,351002,R99p,229.03,0.0,0.0
HOT_DRY,EL_NINO,351002,Rx1day,57.18,0.43,0.57
HOT_DRY,EL_NINO,351002,Rx5day,21.04,0.43,0.57
HOT_DRY,EL_NINO,351002,SDII,55.72,0.43,0.86
HOT_DRY,EL_NINO,351002,wet_day_freq,-25.68,0.14,0.29
HOT_DRY,EL_NINO,351003,CDD,-22.03,0.71,0.57
HOT_DRY,EL_NINO,351003,CWD,-60.42,0.43,0.29
HOT_DRY,EL_NINO,351003,PRCPTOT,-23.12,0.57,0.14
HOT_DRY,EL_NINO,351003,R20mm,-37.5,0.29,0.43
HOT_DRY,EL_NINO,351003,R50mm,25.0,0.0,0.57
HOT_DRY,EL_NINO,351003,R95p,51.56,0.0,0.86
HOT_DRY,EL_NINO,351003,R99p,-100.0,0.0,0.29
HOT_DRY,EL_NINO,351003,Rx1day,-23.73,0.57,0.0
HOT_DRY,EL_NINO,351003,Rx5day,-44.55,0.57,0.14
HOT_DRY,EL_NINO,351003,SDII,-7.06,0.57,0.14
