model,season_type,ENSO_phase,station,index,mag_err_raw,mag_err_qdm,delta_mag_err
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,CDD,36.16,42.29,6.13
CanESM5,HOT_DRY,EL_NINO,351001,CDD,42.46,11.28,-31.18
CESM2,HOT_DRY,EL_NINO,351001,CDD,58.29,88.25,29.96
EC-Earth3,HOT_DRY,EL_NINO,351001,CDD,76.35,66.53,-9.82
FGOALS-g3,HOT_DRY,EL_NINO,351001,CDD,25.89,15.48,-10.41
MIROC6,HOT_DRY,EL_NINO,351001,CDD,24.9,73.85,48.95
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,CDD,37.0,22.5,-14.5
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,CWD,7.5,21.43,13.93
CanESM5,HOT_DRY,EL_NINO,351001,CWD,1.55,30.77,29.22
CESM2,HOT_DRY,EL_NINO,351001,CWD,46.39,64.71,18.32
EC-Earth3,HOT_DRY,EL_NINO,351001,CWD,11.54,18.75,7.21
FGOALS-g3,HOT_DRY,EL_NINO,351001,CWD,41.07,50.0,8.93
MIROC6,HOT_DRY,EL_NINO,351001,CWD,82.41,60.42,-21.99
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,CWD,40.91,16.67,-24.24
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,PRCPTOT,13.01,44.57,31.56
CanESM5,HOT_DRY,EL_NINO,351001,PRCPTOT,5.22,65.28,60.06
CESM2,HOT_DRY,EL_NINO,351001,PRCPTOT,44.76,313.49,268.73
EC-Earth3,HOT_DRY,EL_NINO,351001,PRCPTOT,27.92,75.55,47.63
FGOALS-g3,HOT_DRY,EL_NINO,351001,PRCPTOT,14.0,48.94,34.94
MIROC6,HOT_DRY,EL_NINO,351001,PRCPTOT,98.82,32.72,-66.1
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,PRCPTOT,10.18,56.56,46.38
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R20mm,91.67,53.21,-38.46
CanESM5,HOT_DRY,EL_NINO,351001,R20mm,33.33,120.83,87.5
CESM2,HOT_DRY,EL_NINO,351001,R20mm,220.83,433.33,212.5
EC-Earth3,HOT_DRY,EL_NINO,351001,R20mm,95.83,100.64,4.81
FGOALS-g3,HOT_DRY,EL_NINO,351001,R20mm,29.17,21.97,-7.2
MIROC6,HOT_DRY,EL_NINO,351001,R20mm,502.08,33.33,-468.75
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R20mm,91.67,33.33,-58.34
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R50mm,66.67,166.67,100.0
CanESM5,HOT_DRY,EL_NINO,351001,R50mm,66.67,83.34,16.67
CESM2,HOT_DRY,EL_NINO,351001,R50mm,66.67,145.83,79.16
EC-Earth3,HOT_DRY,EL_NINO,351001,R50mm,66.67,41.67,-25.0
FGOALS-g3,HOT_DRY,EL_NINO,351001,R50mm,166.67,41.67,-125.0
MIROC6,HOT_DRY,EL_NINO,351001,R50mm,66.67,125.0,58.33
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R50mm,66.67,66.67,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R95p,14.32,99.84,85.52
CanESM5,HOT_DRY,EL_NINO,351001,R95p,14.32,0.51,-13.81
CESM2,HOT_DRY,EL_NINO,351001,R95p,14.32,498.65,484.33
EC-Earth3,HOT_DRY,EL_NINO,351001,R95p,14.32,16.88,2.56
FGOALS-g3,HOT_DRY,EL_NINO,351001,R95p,64.88,109.12,44.24
MIROC6,HOT_DRY,EL_NINO,351001,R95p,14.32,57.16,42.84
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R95p,14.32,483.94,469.62
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R99p,35.28,64.72,29.44
CanESM5,HOT_DRY,EL_NINO,351001,R99p,35.28,116.73,81.45
CESM2,HOT_DRY,EL_NINO,351001,R99p,35.28,35.28,0.0
EC-Earth3,HOT_DRY,EL_NINO,351001,R99p,35.28,34.89,-0.39
FGOALS-g3,HOT_DRY,EL_NINO,351001,R99p,35.28,210.16,174.88
MIROC6,HOT_DRY,EL_NINO,351001,R99p,35.28,64.72,29.44
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R99p,35.28,35.28,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,Rx1day,50.31,40.25,-10.06
CanESM5,HOT_DRY,EL_NINO,351001,Rx1day,19.35,44.38,25.03
