source_type,model,season_type,station,ENSO_phase,index,neutral_value,phase_value,abs_response,pct_response
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,PRCPTOT,202.94,168.05,-34.89,-17.19
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,wet_day_freq,7.732,5.248,-2.485,-32.13
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,SDII,16.984,36.148,19.164,112.83
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,Rx1day,82.72,76.6,-6.12,-7.4
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,Rx5day,99.2,105.625,6.425,6.48
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,R20mm,3.0,2.75,-0.25,-8.33
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,R50mm,0.6,1.0,0.4,66.67
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,R95p,80.96,92.55,11.59,14.32
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,R99p,60.14,38.925,-21.215,-35.28
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,CDD,69.6,96.25,26.65,38.29
OBSERVED,OBSERVED,HOT_DRY,351001,EL_NINO,CWD,3.0,2.25,-0.75,-25.0
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,PRCPTOT,202.94,187.6,-15.34,-7.56
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,wet_day_freq,7.732,8.453,0.721,9.33
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,SDII,16.984,12.55,-4.434,-26.11
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,Rx1day,82.72,50.133,-32.587,-39.39
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,Rx5day,99.2,78.044,-21.156,-21.33
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,R20mm,3.0,3.111,0.111,3.7
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,R50mm,0.6,0.778,0.178,29.63
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,R95p,80.96,48.667,-32.293,-39.89
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,R99p,60.14,10.233,-49.907,-82.98
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,CDD,69.6,76.0,6.4,9.2
OBSERVED,OBSERVED,HOT_DRY,351001,LA_NINA,CWD,3.0,4.444,1.444,48.15
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,PRCPTOT,169.9,184.2,14.3,8.42
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,wet_day_freq,7.616,5.66,-1.956,-25.68
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,SDII,11.84,18.438,6.598,55.72
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,Rx1day,44.12,69.35,25.23,57.18
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,Rx5day,60.64,73.4,12.76,21.04
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,R20mm,1.8,2.75,0.95,52.78
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,R50mm,0.4,0.75,0.35,87.5
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,R95p,29.84,81.575,51.735,173.37
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,R99p,18.0,59.225,41.225,229.03
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,CDD,83.2,70.75,-12.45,-14.96
OBSERVED,OBSERVED,HOT_DRY,351002,EL_NINO,CWD,3.0,2.75,-0.25,-8.33
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,PRCPTOT,169.9,187.289,17.389,10.23
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,wet_day_freq,7.616,8.387,0.771,10.12
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,SDII,11.84,12.433,0.593,5.01
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,Rx1day,44.12,51.667,7.547,17.1
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,Rx5day,60.64,83.433,22.793,37.59
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,R20mm,1.8,2.667,0.867,48.15
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,R50mm,0.4,0.556,0.156,38.89
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,R95p,29.84,50.856,21.016,70.43
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,R99p,18.0,9.733,-8.267,-45.93
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,CDD,83.2,90.444,7.244,8.71
OBSERVED,OBSERVED,HOT_DRY,351002,LA_NINA,CWD,3.0,3.889,0.889,29.63
OBSERVED,OBSERVED,HOT_DRY,351003,EL_NINO,PRCPTOT,271.84,209.0,-62.84,-23.12
