source_type,model,season_type,station,ENSO_phase,index,neutral_value,phase_value,abs_response,pct_response
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,PRCPTOT,216.552,69.348,-147.204,-67.98
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,wet_day_freq,8.052,4.518,-3.534,-43.89
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,SDII,13.532,9.632,-3.9,-28.82
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,Rx1day,60.858,26.96,-33.898,-55.7
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,Rx5day,126.392,36.848,-89.544,-70.85
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,R20mm,2.6,0.8,-1.8,-69.23
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,R50mm,0.8,0.0,-0.8,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,R95p,74.802,8.666,-66.136,-88.41
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,R99p,60.766,0.0,-60.766,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,CDD,75.0,63.2,-11.8,-15.73
QDM,ACCESS-ESM1-5,HOT_DRY,351001,EL_NINO,CWD,4.2,2.0,-2.2,-52.38
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,PRCPTOT,216.552,98.529,-118.023,-54.5
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,wet_day_freq,8.052,4.588,-3.464,-43.02
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,SDII,13.532,10.511,-3.021,-22.32
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,Rx1day,60.858,29.212,-31.646,-52.0
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,Rx5day,126.392,51.863,-74.529,-58.97
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,R20mm,2.6,1.556,-1.044,-40.17
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,R50mm,0.8,0.222,-0.578,-72.22
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,R95p,74.802,27.95,-46.852,-62.63
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,R99p,60.766,0.0,-60.766,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,CDD,75.0,77.889,2.889,3.85
QDM,ACCESS-ESM1-5,HOT_DRY,351001,LA_NINA,CWD,4.2,3.222,-0.978,-23.28
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,PRCPTOT,116.142,43.28,-72.862,-62.74
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,wet_day_freq,7.06,3.634,-3.426,-48.53
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,SDII,8.342,7.54,-0.802,-9.61
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,Rx1day,35.922,19.376,-16.546,-46.06
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,Rx5day,74.114,26.19,-47.924,-64.66
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,R20mm,0.8,0.6,-0.2,-25.0
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,R50mm,0.4,0.0,-0.4,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,R95p,37.632,0.0,-37.632,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,R99p,15.142,0.0,-15.142,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,CDD,106.6,106.2,-0.4,-0.38
QDM,ACCESS-ESM1-5,HOT_DRY,351002,EL_NINO,CWD,4.2,1.8,-2.4,-57.14
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,PRCPTOT,116.142,60.722,-55.42,-47.72
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,wet_day_freq,7.06,3.854,-3.206,-45.4
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,SDII,8.342,7.308,-1.034,-12.4
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,Rx1day,35.922,20.292,-15.63,-43.51
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,Rx5day,74.114,36.358,-37.756,-50.94
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,R20mm,0.8,0.889,0.089,11.11
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,R50mm,0.4,0.111,-0.289,-72.22
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,R95p,37.632,6.192,-31.44,-83.55
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,R99p,15.142,0.0,-15.142,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,CDD,106.6,91.111,-15.489,-14.53
QDM,ACCESS-ESM1-5,HOT_DRY,351002,LA_NINA,CWD,4.2,2.889,-1.311,-31.22
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,PRCPTOT,228.138,104.422,-123.716,-54.23
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,wet_day_freq,7.72,4.41,-3.31,-42.88
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,SDII,14.606,14.278,-0.328,-2.25
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,Rx1day,49.17,43.626,-5.544,-11.28
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,Rx5day,102.082,49.114,-52.968,-51.89
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,R20mm,3.8,1.0,-2.8,-73.68
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,R50mm,0.6,0.4,-0.2,-33.33
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,R95p,64.076,37.386,-26.69,-41.65
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,R99p,34.508,18.22,-16.288,-47.2
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,CDD,90.0,63.6,-26.4,-29.33
QDM,ACCESS-ESM1-5,HOT_DRY,351003,EL_NINO,CWD,4.8,2.4,-2.4,-50.0
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,PRCPTOT,228.138,99.553,-128.585,-56.36
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,wet_day_freq,7.72,4.039,-3.681,-47.68
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,SDII,14.606,12.45,-2.156,-14.76
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,Rx1day,49.17,36.273,-12.897,-26.23
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,Rx5day,102.082,58.956,-43.126,-42.25
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,R20mm,3.8,1.556,-2.244,-59.06
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,R50mm,0.6,0.222,-0.378,-62.96
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,R95p,64.076,33.96,-30.116,-47.0
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,R99p,34.508,8.737,-25.771,-74.68
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,CDD,90.0,93.111,3.111,3.46
QDM,ACCESS-ESM1-5,HOT_DRY,351003,LA_NINA,CWD,4.8,3.0,-1.8,-37.5
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,PRCPTOT,172.75,79.292,-93.458,-54.1
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,wet_day_freq,5.072,2.426,-2.646,-52.17
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,SDII,15.28,17.412,2.132,13.95
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,Rx1day,46.264,43.138,-3.126,-6.76
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,Rx5day,92.86,46.032,-46.828,-50.43
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,R20mm,3.0,1.0,-2.0,-66.67
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,R50mm,0.6,0.2,-0.4,-66.67
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,R95p,61.198,29.262,-31.936,-52.18
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,R99p,24.812,19.456,-5.356,-21.59
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,CDD,121.2,84.0,-37.2,-30.69
QDM,ACCESS-ESM1-5,HOT_DRY,351004,EL_NINO,CWD,4.0,1.6,-2.4,-60.0
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,PRCPTOT,172.75,71.247,-101.503,-58.76
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,wet_day_freq,5.072,1.838,-3.234,-63.77
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,SDII,15.28,18.087,2.807,18.37
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,Rx1day,46.264,33.39,-12.874,-27.83
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,Rx5day,92.86,51.84,-41.02,-44.17
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,R20mm,3.0,1.667,-1.333,-44.44
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,R50mm,0.6,0.222,-0.378,-62.96
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,R95p,61.198,13.74,-47.458,-77.55
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,R99p,24.812,0.0,-24.812,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,CDD,121.2,120.222,-0.978,-0.81
QDM,ACCESS-ESM1-5,HOT_DRY,351004,LA_NINA,CWD,4.0,1.889,-2.111,-52.78
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,PRCPTOT,146.278,46.754,-99.524,-68.04
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,wet_day_freq,5.732,3.086,-2.646,-46.16
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,SDII,13.138,8.58,-4.558,-34.69
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,Rx1day,47.412,23.43,-23.982,-50.58
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,Rx5day,94.498,30.374,-64.124,-67.86
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,R20mm,1.4,0.6,-0.8,-57.14
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,R50mm,0.6,0.0,-0.6,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,R95p,54.784,8.612,-46.172,-84.28
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,R99p,34.854,0.0,-34.854,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,CDD,96.4,106.4,10.0,10.37
QDM,ACCESS-ESM1-5,HOT_DRY,351005,EL_NINO,CWD,3.6,1.8,-1.8,-50.0
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,PRCPTOT,146.278,73.278,-73.0,-49.91
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,wet_day_freq,5.732,3.426,-2.306,-40.24
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,SDII,13.138,10.437,-2.701,-20.56
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,Rx1day,47.412,25.803,-21.609,-45.58
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,Rx5day,94.498,44.462,-50.036,-52.95
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,R20mm,1.4,1.333,-0.067,-4.76
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,R50mm,0.6,0.111,-0.489,-81.48
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,R95p,54.784,18.663,-36.121,-65.93
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,R99p,34.854,0.0,-34.854,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,CDD,96.4,98.556,2.156,2.24
QDM,ACCESS-ESM1-5,HOT_DRY,351005,LA_NINA,CWD,3.6,2.778,-0.822,-22.84
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,PRCPTOT,206.182,73.976,-132.206,-64.12
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,wet_day_freq,6.836,4.08,-2.756,-40.32
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,SDII,13.414,10.528,-2.886,-21.51
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,Rx1day,55.64,30.048,-25.592,-46.0
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,Rx5day,112.32,33.322,-78.998,-70.33
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,R20mm,2.6,1.0,-1.6,-61.54
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,R50mm,0.6,0.0,-0.6,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,R95p,127.976,36.652,-91.324,-71.36
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,R99p,77.898,32.476,-45.422,-58.31
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,CDD,107.0,77.4,-29.6,-27.66
QDM,ACCESS-ESM1-5,HOT_DRY,351006,EL_NINO,CWD,4.8,2.4,-2.4,-50.0
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,PRCPTOT,206.182,75.401,-130.781,-63.43
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,wet_day_freq,6.836,3.367,-3.469,-50.75
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,SDII,13.414,11.874,-1.54,-11.48
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,Rx1day,55.64,31.127,-24.513,-44.06
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,Rx5day,112.32,50.703,-61.617,-54.86
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,R20mm,2.6,1.222,-1.378,-52.99
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,R50mm,0.6,0.222,-0.378,-62.96
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,R95p,127.976,42.919,-85.057,-66.46
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,R99p,77.898,22.82,-55.078,-70.71
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,CDD,107.0,102.667,-4.333,-4.05
QDM,ACCESS-ESM1-5,HOT_DRY,351006,LA_NINA,CWD,4.8,2.889,-1.911,-39.81
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,PRCPTOT,198.924,92.95,-105.974,-53.27
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,wet_day_freq,13.016,8.718,-4.298,-33.02
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,SDII,7.85,6.446,-1.404,-17.89
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,Rx1day,32.53,21.708,-10.822,-33.27
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,Rx5day,73.35,30.38,-42.97,-58.58
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,R20mm,2.2,0.8,-1.4,-63.64
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,R50mm,0.2,0.0,-0.2,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,R95p,69.584,21.61,-47.974,-68.94
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,R99p,22.278,0.0,-22.278,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,CDD,65.8,59.4,-6.4,-9.73
QDM,ACCESS-ESM1-5,HOT_DRY,351007,EL_NINO,CWD,5.6,3.6,-2.0,-35.71
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,PRCPTOT,198.924,90.518,-108.406,-54.5
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,wet_day_freq,13.016,8.388,-4.628,-35.56
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,SDII,7.85,5.856,-1.994,-25.41
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,Rx1day,32.53,20.428,-12.102,-37.2
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,Rx5day,73.35,38.791,-34.559,-47.12
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,R20mm,2.2,0.778,-1.422,-64.65
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,R50mm,0.2,0.0,-0.2,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,R95p,69.584,21.402,-48.182,-69.24
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,R99p,22.278,4.66,-17.618,-79.08
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,CDD,65.8,68.889,3.089,4.69
QDM,ACCESS-ESM1-5,HOT_DRY,351007,LA_NINA,CWD,5.6,3.889,-1.711,-30.56
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,PRCPTOT,155.632,76.288,-79.344,-50.98
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,wet_day_freq,11.692,7.834,-3.858,-33.0
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,SDII,6.834,5.786,-1.048,-15.34
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,Rx1day,25.634,19.424,-6.21,-24.23
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,Rx5day,58.994,26.092,-32.902,-55.77
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,R20mm,1.2,0.6,-0.6,-50.0
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,R50mm,0.2,0.0,-0.2,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,R95p,43.182,16.736,-26.446,-61.24
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,R99p,11.614,0.0,-11.614,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,CDD,76.4,60.6,-15.8,-20.68
QDM,ACCESS-ESM1-5,HOT_DRY,351008,EL_NINO,CWD,5.0,3.6,-1.4,-28.0
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,PRCPTOT,155.632,72.826,-82.806,-53.21
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,wet_day_freq,11.692,7.651,-4.041,-34.56
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,SDII,6.834,5.171,-1.663,-24.33
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,Rx1day,25.634,17.17,-8.464,-33.02
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,Rx5day,58.994,32.94,-26.054,-44.16
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,R20mm,1.2,0.444,-0.756,-62.96
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,R50mm,0.2,0.0,-0.2,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,R95p,43.182,16.367,-26.815,-62.1
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,R99p,11.614,0.0,-11.614,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,CDD,76.4,71.556,-4.844,-6.34
QDM,ACCESS-ESM1-5,HOT_DRY,351008,LA_NINA,CWD,5.0,4.0,-1.0,-20.0
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,PRCPTOT,177.226,72.936,-104.29,-58.85
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,wet_day_freq,13.348,7.94,-5.408,-40.52
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,SDII,7.054,5.45,-1.604,-22.74
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,Rx1day,33.53,17.5,-16.03,-47.81
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,Rx5day,76.964,29.056,-47.908,-62.25
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,R20mm,1.0,0.6,-0.4,-40.0
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,R50mm,0.2,0.0,-0.2,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,R95p,83.396,20.044,-63.352,-75.97
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,R99p,41.668,14.344,-27.324,-65.58
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,CDD,64.2,54.6,-9.6,-14.95
QDM,ACCESS-ESM1-5,HOT_DRY,351009,EL_NINO,CWD,5.6,2.8,-2.8,-50.0
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,PRCPTOT,177.226,87.43,-89.796,-50.67
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,wet_day_freq,13.348,8.142,-5.206,-39.0
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,SDII,7.054,5.64,-1.414,-20.05
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,Rx1day,33.53,18.499,-15.031,-44.83
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,Rx5day,76.964,34.502,-42.462,-55.17
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,R20mm,1.0,0.667,-0.333,-33.33
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,R50mm,0.2,0.0,-0.2,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,R95p,83.396,32.481,-50.915,-61.05
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,R99p,41.668,18.068,-23.6,-56.64
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,CDD,64.2,71.222,7.022,10.94
QDM,ACCESS-ESM1-5,HOT_DRY,351009,LA_NINA,CWD,5.6,3.778,-1.822,-32.54
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,PRCPTOT,178.48,85.012,-93.468,-52.37
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,wet_day_freq,10.918,7.502,-3.416,-31.29
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,SDII,8.222,6.766,-1.456,-17.71
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,Rx1day,32.234,23.15,-9.084,-28.18
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,Rx5day,72.05,30.388,-41.662,-57.82
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,R20mm,1.8,0.8,-1.0,-55.56
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,R50mm,0.2,0.0,-0.2,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,R95p,89.374,27.01,-62.364,-69.78
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,R99p,55.42,23.82,-31.6,-57.02
QDM,ACCESS-ESM1-5,HOT_DRY,351010,EL_NINO,CDD,77.0,60.6,-16.4,-21.3
