season_id,climate_year,season_type,season_start,season_end,ENSO_phase,ONI_mean,ONI_min,ONI_max,n_months,el_nino_months,la_nina_months,classification_rule
1995_RAIN,1995,RAINY,1995-05-01,1995-10-31,TRANSITION_UNCLASSIFIED,-0.408,-0.97,0.14,6,0,3,Episode_Overlap_>=4_months
1995_1996_HOT_DRY,1995,HOT_DRY,1995-11-01,1996-04-30,LA_NINA,-0.768,-1.0,-0.39,6,0,5,Episode_Overlap_>=4_months
1996_RAIN,1996,RAINY,1996-05-01,1996-10-31,NEUTRAL,-0.325,-0.4,-0.27,6,0,0,Episode_Overlap_>=4_months
1996_1997_HOT_DRY,1996,HOT_DRY,1996-11-01,1997-04-30,NEUTRAL,-0.27,-0.5,0.28,6,0,0,Episode_Overlap_>=4_months
1997_RAIN,1997,RAINY,1997-05-01,1997-10-31,EL_NINO,1.657,0.75,2.33,6,6,0,Episode_Overlap_>=4_months
1997_1998_HOT_DRY,1997,HOT_DRY,1997-11-01,1998-04-30,EL_NINO,1.898,0.99,2.4,6,6,0,Episode_Overlap_>=4_months
1998_RAIN,1998,RAINY,1998-05-01,1998-10-31,LA_NINA,-0.707,-1.35,0.45,6,0,4,Episode_Overlap_>=4_months
1998_1999_HOT_DRY,1998,HOT_DRY,1998-11-01,1999-04-30,LA_NINA,-1.325,-1.57,-0.98,6,0,6,Episode_Overlap_>=4_months
1999_RAIN,1999,RAINY,1999-05-01,1999-10-31,LA_NINA,-1.115,-1.26,-1.02,6,0,6,Episode_Overlap_>=4_months
1999_2000_HOT_DRY,1999,HOT_DRY,1999-11-01,2000-04-30,LA_NINA,-1.343,-1.66,-0.81,6,0,6,Episode_Overlap_>=4_months
2000_RAIN,2000,RAINY,2000-05-01,2000-10-31,LA_NINA,-0.598,-0.71,-0.51,6,0,6,Episode_Overlap_>=4_months
2000_2001_HOT_DRY,2000,HOT_DRY,2000-11-01,2001-04-30,LA_NINA,-0.578,-0.75,-0.34,6,0,4,Episode_Overlap_>=4_months
2001_RAIN,2001,RAINY,2001-05-01,2001-10-31,NEUTRAL,-0.177,-0.29,-0.08,6,0,0,Episode_Overlap_>=4_months
2001_2002_HOT_DRY,2001,HOT_DRY,2001-11-01,2002-04-30,NEUTRAL,-0.082,-0.35,0.2,6,0,0,Episode_Overlap_>=4_months
2002_RAIN,2002,RAINY,2002-05-01,2002-10-31,EL_NINO,0.825,0.43,1.21,6,5,0,Episode_Overlap_>=4_months
