model,season_type,ENSO_phase,station,index,R_RAW_pct,R_QDM_pct,PE_ENSO_pct
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,CDD,2.13,-4.0,-287.79
CanESM5,HOT_DRY,EL_NINO,351001,CDD,-4.17,27.01,-747.72
CESM2,HOT_DRY,EL_NINO,351001,CDD,-20.0,-49.96,149.8
EC-Earth3,HOT_DRY,EL_NINO,351001,CDD,-38.06,-28.24,-25.8
FGOALS-g3,HOT_DRY,EL_NINO,351001,CDD,12.4,22.81,83.95
MIROC6,HOT_DRY,EL_NINO,351001,CDD,13.39,-35.56,-365.57
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,CDD,1.29,15.79,1124.03
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,CWD,-32.5,-46.43,42.86
CanESM5,HOT_DRY,EL_NINO,351001,CWD,-26.55,5.77,-121.73
CESM2,HOT_DRY,EL_NINO,351001,CWD,21.39,39.71,85.65
EC-Earth3,HOT_DRY,EL_NINO,351001,CWD,-13.46,-6.25,-53.57
FGOALS-g3,HOT_DRY,EL_NINO,351001,CWD,16.07,25.0,55.57
MIROC6,HOT_DRY,EL_NINO,351001,CWD,57.41,35.42,-38.3
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,CWD,15.91,-8.33,-152.36
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,PRCPTOT,-30.2,-61.76,104.5
CanESM5,HOT_DRY,EL_NINO,351001,PRCPTOT,-22.41,48.09,-314.59
CESM2,HOT_DRY,EL_NINO,351001,PRCPTOT,27.57,296.3,974.72
EC-Earth3,HOT_DRY,EL_NINO,351001,PRCPTOT,10.73,58.36,443.9
FGOALS-g3,HOT_DRY,EL_NINO,351001,PRCPTOT,-3.19,31.75,-1095.3
MIROC6,HOT_DRY,EL_NINO,351001,PRCPTOT,81.63,15.53,-80.98
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,PRCPTOT,-7.01,39.37,-661.63
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R20mm,-100.0,-61.54,-38.46
CanESM5,HOT_DRY,EL_NINO,351001,R20mm,25.0,112.5,350.0
CESM2,HOT_DRY,EL_NINO,351001,R20mm,212.5,425.0,100.0
EC-Earth3,HOT_DRY,EL_NINO,351001,R20mm,87.5,92.31,5.5
FGOALS-g3,HOT_DRY,EL_NINO,351001,R20mm,-37.5,13.64,-136.37
MIROC6,HOT_DRY,EL_NINO,351001,R20mm,493.75,25.0,-94.94
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R20mm,-100.0,25.0,-125.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R50mm,0.0,-100.0,0.0
CanESM5,HOT_DRY,EL_NINO,351001,R50mm,0.0,-16.67,0.0
CESM2,HOT_DRY,EL_NINO,351001,R50mm,0.0,212.5,0.0
EC-Earth3,HOT_DRY,EL_NINO,351001,R50mm,0.0,25.0,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351001,R50mm,-100.0,25.0,-125.0
MIROC6,HOT_DRY,EL_NINO,351001,R50mm,0.0,-58.33,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R50mm,0.0,0.0,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R95p,0.0,-85.52,0.0
CanESM5,HOT_DRY,EL_NINO,351001,R95p,0.0,13.81,0.0
CESM2,HOT_DRY,EL_NINO,351001,R95p,0.0,512.97,0.0
EC-Earth3,HOT_DRY,EL_NINO,351001,R95p,0.0,-2.56,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351001,R95p,-50.56,123.44,-344.15
MIROC6,HOT_DRY,EL_NINO,351001,R95p,0.0,-42.84,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R95p,0.0,498.26,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,R99p,0.0,-100.0,0.0
CanESM5,HOT_DRY,EL_NINO,351001,R99p,0.0,81.45,0.0
CESM2,HOT_DRY,EL_NINO,351001,R99p,0.0,0.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351001,R99p,0.0,-0.39,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351001,R99p,0.0,174.88,0.0
MIROC6,HOT_DRY,EL_NINO,351001,R99p,0.0,-100.0,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,R99p,0.0,0.0,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,Rx1day,-57.71,-47.65,-17.43
CanESM5,HOT_DRY,EL_NINO,351001,Rx1day,-26.75,36.98,-238.24
CESM2,HOT_DRY,EL_NINO,351001,Rx1day,11.75,185.05,1474.89
EC-Earth3,HOT_DRY,EL_NINO,351001,Rx1day,32.69,11.66,-64.33
FGOALS-g3,HOT_DRY,EL_NINO,351001,Rx1day,-9.9,37.25,-476.26
MIROC6,HOT_DRY,EL_NINO,351001,Rx1day,111.83,-35.02,-131.32
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,Rx1day,-24.18,86.78,-458.89
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,Rx5day,-61.03,-65.01,6.52
CanESM5,HOT_DRY,EL_NINO,351001,Rx5day,-31.47,71.53,-327.3
CESM2,HOT_DRY,EL_NINO,351001,Rx5day,20.58,162.42,689.21
EC-Earth3,HOT_DRY,EL_NINO,351001,Rx5day,8.8,-22.42,-354.77
FGOALS-g3,HOT_DRY,EL_NINO,351001,Rx5day,-11.92,39.41,-430.62
MIROC6,HOT_DRY,EL_NINO,351001,Rx5day,107.18,-17.3,-116.14
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,Rx5day,-27.27,45.46,-266.7
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,SDII,-13.13,-20.58,56.74
CanESM5,HOT_DRY,EL_NINO,351001,SDII,-25.39,34.79,-237.02
CESM2,HOT_DRY,EL_NINO,351001,SDII,11.69,46.58,298.46
EC-Earth3,HOT_DRY,EL_NINO,351001,SDII,9.53,0.85,-91.08
FGOALS-g3,HOT_DRY,EL_NINO,351001,SDII,-25.56,25.69,-200.51
MIROC6,HOT_DRY,EL_NINO,351001,SDII,54.99,-29.22,-153.14
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,SDII,-15.35,60.59,-494.72
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,wet_day_freq,-19.98,-45.14,125.93
CanESM5,HOT_DRY,EL_NINO,351001,wet_day_freq,0.51,17.91,3411.76
CESM2,HOT_DRY,EL_NINO,351001,wet_day_freq,12.78,117.43,818.86
EC-Earth3,HOT_DRY,EL_NINO,351001,wet_day_freq,3.76,46.03,1124.2
FGOALS-g3,HOT_DRY,EL_NINO,351001,wet_day_freq,14.33,7.52,-47.52
MIROC6,HOT_DRY,EL_NINO,351001,wet_day_freq,17.1,58.46,241.87
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,wet_day_freq,8.72,-4.35,-149.89
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,CDD,2.13,17.96,743.19
CanESM5,HOT_DRY,EL_NINO,351002,CDD,-4.17,31.72,-860.67
CESM2,HOT_DRY,EL_NINO,351002,CDD,-20.0,-42.54,112.7
EC-Earth3,HOT_DRY,EL_NINO,351002,CDD,-38.06,-21.07,-44.64
FGOALS-g3,HOT_DRY,EL_NINO,351002,CDD,12.4,5.79,-53.31
MIROC6,HOT_DRY,EL_NINO,351002,CDD,13.39,-11.59,-186.56
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,CDD,1.29,13.33,933.33
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,CWD,-32.5,-52.38,61.17
CanESM5,HOT_DRY,EL_NINO,351002,CWD,-26.55,37.5,-241.24
CESM2,HOT_DRY,EL_NINO,351002,CWD,21.39,60.71,183.82
EC-Earth3,HOT_DRY,EL_NINO,351002,CWD,-13.46,-14.47,7.5
FGOALS-g3,HOT_DRY,EL_NINO,351002,CWD,16.07,12.5,-22.22
MIROC6,HOT_DRY,EL_NINO,351002,CWD,57.41,35.42,-38.3
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,CWD,15.91,-3.85,-124.2
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,PRCPTOT,-30.2,-54.99,82.09
CanESM5,HOT_DRY,EL_NINO,351002,PRCPTOT,-22.41,84.49,-477.02
CESM2,HOT_DRY,EL_NINO,351002,PRCPTOT,27.57,352.51,1178.6
EC-Earth3,HOT_DRY,EL_NINO,351002,PRCPTOT,10.73,60.07,459.83
FGOALS-g3,HOT_DRY,EL_NINO,351002,PRCPTOT,-3.19,62.49,-2058.93
MIROC6,HOT_DRY,EL_NINO,351002,PRCPTOT,81.63,-5.54,-106.79
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,PRCPTOT,-7.01,49.27,-802.85
