season_type,ENSO_phase,index,n_phase,n_neutral,mean_phase,mean_neutral,p_value_mw,status
RAINY,EL_NINO,PRCPTOT,2,6,843.88,927.61,0.2857,DIAGNOSTIC
RAINY,EL_NINO,wet_day_freq,2,6,56.23,57.14,0.8571,DIAGNOSTIC
RAINY,EL_NINO,SDII,2,6,9.68,10.51,0.6429,DIAGNOSTIC
RAINY,EL_NINO,Rx1day,2,6,65.03,75.03,0.6429,DIAGNOSTIC
RAINY,EL_NINO,Rx5day,2,6,114.6,131.2,0.8571,DIAGNOSTIC
RAINY,EL_NINO,R20mm,2,6,8.77,9.68,0.5024,DIAGNOSTIC
RAINY,EL_NINO,R50mm,2,6,1.23,1.77,0.3144,DIAGNOSTIC
RAINY,EL_NINO,R95p,2,6,187.97,235.76,0.6429,DIAGNOSTIC
RAINY,EL_NINO,R99p,2,6,68.0,89.25,0.6429,DIAGNOSTIC
RAINY,EL_NINO,CDD,2,6,12.5,9.83,0.1429,DIAGNOSTIC
RAINY,EL_NINO,CWD,2,6,34.0,30.19,0.6429,DIAGNOSTIC
RAINY,LA_NINA,PRCPTOT,5,6,940.33,927.61,0.9307,VERIFIED
RAINY,LA_NINA,wet_day_freq,5,6,55.7,57.14,1.0,VERIFIED
RAINY,LA_NINA,SDII,5,6,10.92,10.51,0.6623,VERIFIED
RAINY,LA_NINA,Rx1day,5,6,76.1,75.03,0.9307,VERIFIED
RAINY,LA_NINA,Rx5day,5,6,153.31,131.2,0.7922,VERIFIED
RAINY,LA_NINA,R20mm,5,6,10.17,9.68,1.0,VERIFIED
RAINY,LA_NINA,R50mm,5,6,1.86,1.77,0.8548,VERIFIED
RAINY,LA_NINA,R95p,5,6,245.45,235.76,0.9307,VERIFIED
RAINY,LA_NINA,R99p,5,6,95.86,89.25,0.7922,VERIFIED
RAINY,LA_NINA,CDD,5,6,10.31,9.83,0.9307,VERIFIED
RAINY,LA_NINA,CWD,5,6,31.75,30.19,0.7922,VERIFIED
HOT_DRY,EL_NINO,PRCPTOT,4,5,214.34,256.56,0.7302,VERIFIED
HOT_DRY,EL_NINO,wet_day_freq,4,5,13.54,14.91,0.5556,VERIFIED
HOT_DRY,EL_NINO,SDII,4,5,14.65,12.84,0.7302,VERIFIED
HOT_DRY,EL_NINO,Rx1day,4,5,60.59,58.81,0.5556,VERIFIED
HOT_DRY,EL_NINO,Rx5day,4,5,80.43,89.02,1.0,VERIFIED
HOT_DRY,EL_NINO,R20mm,4,5,2.17,2.88,1.0,VERIFIED
HOT_DRY,EL_NINO,R50mm,4,5,0.62,0.71,0.7122,VERIFIED
HOT_DRY,EL_NINO,R95p,4,5,79.05,98.29,0.7302,VERIFIED
HOT_DRY,EL_NINO,R99p,4,5,42.8,61.11,0.9048,VERIFIED
HOT_DRY,EL_NINO,CDD,4,5,58.65,61.52,0.7302,VERIFIED
HOT_DRY,EL_NINO,CWD,4,5,4.71,6.09,0.2683,VERIFIED
HOT_DRY,LA_NINA,PRCPTOT,9,5,278.61,256.56,0.5185,VERIFIED
HOT_DRY,LA_NINA,wet_day_freq,9,5,18.42,14.91,0.1469,VERIFIED
HOT_DRY,LA_NINA,SDII,9,5,11.41,12.84,0.6993,VERIFIED
HOT_DRY,LA_NINA,Rx1day,9,5,47.82,58.81,0.3636,VERIFIED
HOT_DRY,LA_NINA,Rx5day,9,5,86.44,89.02,0.5185,VERIFIED
HOT_DRY,LA_NINA,R20mm,9,5,3.23,2.88,0.4227,VERIFIED
HOT_DRY,LA_NINA,R50mm,9,5,0.62,0.71,0.9453,VERIFIED
HOT_DRY,LA_NINA,R95p,9,5,83.88,98.29,0.4376,VERIFIED
HOT_DRY,LA_NINA,R99p,9,5,34.35,61.11,0.4376,VERIFIED
HOT_DRY,LA_NINA,CDD,9,5,58.97,61.52,0.7972,VERIFIED
HOT_DRY,LA_NINA,CWD,9,5,7.66,6.09,0.4629,VERIFIED
