source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_la,p_val_el_vs_la,diagnostic_only
OBSERVED,OBSERVED,RAINY,PRCPTOT,6,7,8,808.1384615384615,914.745054945055,888.8605769230769,-80.72211538461545,25.88447802197811,-9.081527236143948,2.912096530547128,11.0,0.1806526806526806,False
OBSERVED,OBSERVED,RAINY,Rx1day,6,7,8,58.32179487179487,70.68571428571428,68.24038461538461,-9.918589743589742,2.44532967032967,-14.534779953971158,3.583405463072928,15.0,0.4452214452214452,False
OBSERVED,OBSERVED,RAINY,Rx5day,6,7,8,104.21923076923076,138.98461538461538,119.1875,-14.968269230769238,19.79711538461538,-12.558589810818448,16.610060102456533,11.0,0.1806526806526806,False
OBSERVED,OBSERVED,RAINY,SDII,6,7,8,9.323234821149528,10.572200985948877,9.945191671374529,-0.6219568502249988,0.6270093145743498,-6.25384478023879,6.304647866959519,11.0,0.1806526806526806,False
OBSERVED,OBSERVED,RAINY,R95p,6,7,8,159.1217948717949,224.8230769230769,214.81634615384613,-55.69455128205127,10.006730769230783,-25.926589051172204,4.658272495736526,13.0,0.2948717948717949,False
OBSERVED,OBSERVED,RAINY,R99p,6,7,8,44.38461538461539,81.56923076923077,71.69519230769231,-27.310576923076923,9.87403846153846,-38.09261966390837,13.77224628837359,16.0,0.5337995337995338,False
OBSERVED,OBSERVED,RAINY,CWD,6,7,8,28.08974358974359,30.791208791208785,29.865384615384617,-1.7756410256410255,0.925824175824168,-5.945481863060742,3.0999908012142137,16.5,0.5671762440874444,False
OBSERVED,OBSERVED,RAINY,CDD,6,7,8,11.487179487179487,10.120879120879122,9.990384615384617,1.4967948717948725,0.1304945054945054,14.982354828360606,1.3062010174618448,31.5,0.1525627236365771,False
OBSERVED,OBSERVED,HOT_DRY,PRCPTOT,8,12,8,163.36826923076922,259.18525641025644,235.99326923076924,-72.62500000000003,23.1919871794872,-30.774182770858044,9.827393490959524,15.0,0.0095578312296578,False
OBSERVED,OBSERVED,HOT_DRY,Rx1day,8,12,8,43.05961538461538,46.5974358974359,53.17307692307692,-10.113461538461536,-6.575641025641019,-19.019891500904155,-12.366485834840253,41.0,0.6238787012780821,False
OBSERVED,OBSERVED,HOT_DRY,Rx5day,8,12,8,60.10288461538461,81.93653846153846,87.48173076923078,-27.37884615384617,-5.545192307692318,-31.29664435431575,-6.338686099295468,20.0,0.0314201794077955,False
OBSERVED,OBSERVED,HOT_DRY,SDII,8,12,8,11.07175913529846,10.96227556382913,12.431419294799763,-1.3596601595013027,-1.469143730970634,-10.93728823120034,-11.8179887278454,39.0,0.5208065412399778,False
OBSERVED,OBSERVED,HOT_DRY,R95p,8,12,8,47.844230769230776,75.08012820512819,87.50384615384615,-39.65961538461538,-12.423717948717965,-45.32328249307722,-14.197910714547362,31.0,0.2082876875446535,False
OBSERVED,OBSERVED,HOT_DRY,R99p,8,12,8,22.07307692307692,30.198076923076925,40.88076923076923,-18.80769230769231,-10.682692307692308,-46.00620942703924,-26.13133879010255,34.0,0.2968939270753236,False
OBSERVED,OBSERVED,HOT_DRY,CWD,8,12,8,4.346153846153847,7.365384615384617,6.076923076923077,-1.73076923076923,1.28846153846154,-28.481012658227836,21.20253164556965,8.0,0.0022465363257099,False
OBSERVED,OBSERVED,HOT_DRY,CDD,8,12,8,64.41346153846153,59.59615384615385,67.72115384615384,-3.3076923076923066,-8.124999999999993,-4.884282266079794,-11.997728240806463,57.0,0.5208065412399778,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,PRCPTOT,6,7,8,241.69521794871795,268.0518021978022,263.9172019230769,-22.22198397435895,4.134600274725301,-8.420058947440614,1.5666278077358518,17.0,0.6282051282051282,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,Rx1day,6,7,8,25.251807692307697,21.455142857142857,31.132,-5.880192307692301,-9.67685714285714,-18.887936231826743,-31.08331344872524,18.0,0.7307692307692307,False
