season_type,variable,model,p_val_el_vs_la,diagnostic_only
RAINY,PRCPTOT,OBSERVED,0.1806526806526806,False
RAINY,Rx1day,OBSERVED,0.4452214452214452,False
RAINY,Rx5day,OBSERVED,0.1806526806526806,False
RAINY,SDII,OBSERVED,0.1806526806526806,False
RAINY,R95p,OBSERVED,0.2948717948717949,False
RAINY,R99p,OBSERVED,0.5337995337995338,False
RAINY,CWD,OBSERVED,0.5671762440874444,False
RAINY,CDD,OBSERVED,0.1525627236365771,False
HOT_DRY,PRCPTOT,OBSERVED,0.0095578312296578,False
HOT_DRY,Rx1day,OBSERVED,0.6238787012780821,False
HOT_DRY,Rx5day,OBSERVED,0.0314201794077955,False
HOT_DRY,SDII,OBSERVED,0.5208065412399778,False
HOT_DRY,R95p,OBSERVED,0.2082876875446535,False
HOT_DRY,R99p,OBSERVED,0.2968939270753236,False
HOT_DRY,CWD,OBSERVED,0.0022465363257099,False
HOT_DRY,CDD,OBSERVED,0.5208065412399778,False
RAINY,PRCPTOT,ACCESS-ESM1-5,0.6282051282051282,False
RAINY,Rx1day,ACCESS-ESM1-5,0.7307692307692307,False
RAINY,Rx5day,ACCESS-ESM1-5,0.9452214452214452,False
RAINY,SDII,ACCESS-ESM1-5,0.7307692307692307,False
RAINY,R95p,ACCESS-ESM1-5,0.9427417336673176,False
RAINY,R99p,ACCESS-ESM1-5,0.7935317043066312,False
RAINY,CWD,ACCESS-ESM1-5,0.1375291375291375,False
RAINY,CDD,ACCESS-ESM1-5,0.5337995337995338,False
HOT_DRY,PRCPTOT,ACCESS-ESM1-5,0.9699293482575216,False
HOT_DRY,Rx1day,ACCESS-ESM1-5,0.7344923394458999,False
HOT_DRY,Rx5day,ACCESS-ESM1-5,0.7344923394458999,False
HOT_DRY,SDII,ACCESS-ESM1-5,1.0,False
HOT_DRY,R95p,ACCESS-ESM1-5,1.0,False
HOT_DRY,R99p,ACCESS-ESM1-5,0.2914741136837093,False
HOT_DRY,CWD,ACCESS-ESM1-5,0.5103655506712139,False
HOT_DRY,CDD,ACCESS-ESM1-5,0.374588026577107,False
RAINY,PRCPTOT,ACCESS-ESM1-5,0.4452214452214452,False
RAINY,Rx1day,ACCESS-ESM1-5,0.6282051282051282,False
RAINY,Rx5day,ACCESS-ESM1-5,0.9452214452214452,False
RAINY,SDII,ACCESS-ESM1-5,0.5337995337995338,False
RAINY,R95p,ACCESS-ESM1-5,0.4452214452214452,False
RAINY,R99p,ACCESS-ESM1-5,0.8805564005373742,False
RAINY,CWD,ACCESS-ESM1-5,0.8356643356643356,False
RAINY,CDD,ACCESS-ESM1-5,0.4452214452214452,False
HOT_DRY,PRCPTOT,ACCESS-ESM1-5,0.6238787012780821,False
HOT_DRY,Rx1day,ACCESS-ESM1-5,0.5208065412399778,False
HOT_DRY,Rx5day,ACCESS-ESM1-5,0.9699293482575216,False
HOT_DRY,SDII,ACCESS-ESM1-5,0.8506311026434865,False
HOT_DRY,R95p,ACCESS-ESM1-5,0.5264792305547628,False
HOT_DRY,R99p,ACCESS-ESM1-5,0.088567502575371,False
HOT_DRY,CWD,ACCESS-ESM1-5,0.9078340000264986,False
HOT_DRY,CDD,ACCESS-ESM1-5,1.0,False
RAINY,PRCPTOT,CESM2,0.1013986013986013,False
RAINY,Rx1day,CESM2,0.4452214452214452,False
RAINY,Rx5day,CESM2,0.8356643356643356,False
RAINY,SDII,CESM2,0.1375291375291375,False
RAINY,R95p,CESM2,0.1375291375291375,False
RAINY,R99p,CESM2,0.1806526806526806,False
RAINY,CWD,CESM2,0.2342657342657342,False
RAINY,CDD,CESM2,1.0,False
HOT_DRY,PRCPTOT,CESM2,0.7920774787647853,False
HOT_DRY,Rx1day,CESM2,0.0473446058585377,False
HOT_DRY,Rx5day,CESM2,0.0824958323410335,False
HOT_DRY,SDII,CESM2,0.343145193299992,False
HOT_DRY,R95p,CESM2,0.0824958323410335,False
HOT_DRY,R99p,CESM2,0.7275983637286653,False
HOT_DRY,CWD,CESM2,0.3957103521905413,False
HOT_DRY,CDD,CESM2,0.4268635389378423,False
RAINY,PRCPTOT,CESM2,0.0734265734265734,False
RAINY,Rx1day,CESM2,0.5337995337995338,False
RAINY,Rx5day,CESM2,0.2948717948717949,False
RAINY,SDII,CESM2,0.2342657342657342,False
RAINY,R95p,CESM2,0.3659673659673659,False
RAINY,R99p,CESM2,0.4744429004370553,False
RAINY,CWD,CESM2,0.0999453813185742,False
RAINY,CDD,CESM2,0.0534551055676899,False
HOT_DRY,PRCPTOT,CESM2,0.2082876875446535,False
HOT_DRY,Rx1day,CESM2,0.4268635389378423,False
HOT_DRY,Rx5day,CESM2,0.0824958323410335,False
HOT_DRY,SDII,CESM2,0.1813447646264983,False
HOT_DRY,R95p,CESM2,0.3311849615084903,False
HOT_DRY,R99p,CESM2,0.6837320643963538,False
HOT_DRY,CWD,CESM2,0.1136029476053177,False
HOT_DRY,CDD,CESM2,0.2082876875446535,False
RAINY,PRCPTOT,CanESM5,0.4452214452214452,False
RAINY,Rx1day,CanESM5,0.8356643356643356,False
RAINY,Rx5day,CanESM5,0.9452214452214452,False
RAINY,SDII,CanESM5,0.8356643356643356,False
RAINY,R95p,CanESM5,0.9452214452214452,False
RAINY,R99p,CanESM5,0.8293986370624102,False
RAINY,CWD,CanESM5,0.5661044915545698,False
RAINY,CDD,CanESM5,0.5150755147479535,False
HOT_DRY,PRCPTOT,CanESM5,0.7344923394458999,False
HOT_DRY,Rx1day,CanESM5,0.3053901722632373,False
HOT_DRY,Rx5day,CanESM5,1.0,False
HOT_DRY,SDII,CanESM5,0.5713582599031516,False
HOT_DRY,R95p,CanESM5,0.6208781961903972,False
HOT_DRY,R99p,CanESM5,0.4749585398895067,False
HOT_DRY,CWD,CanESM5,0.3941031650970407,False
HOT_DRY,CDD,CanESM5,0.8155251749685855,False
RAINY,PRCPTOT,CanESM5,0.6282051282051282,False
RAINY,Rx1day,CanESM5,1.0,False
RAINY,Rx5day,CanESM5,1.0,False
RAINY,SDII,CanESM5,0.7307692307692307,False
RAINY,R95p,CanESM5,0.8356643356643356,False
RAINY,R99p,CanESM5,1.0,False
RAINY,CWD,CanESM5,0.4452214452214452,False
RAINY,CDD,CanESM5,0.7747957407506022,False
HOT_DRY,PRCPTOT,CanESM5,0.5713582599031516,False
HOT_DRY,Rx1day,CanESM5,0.9699293482575216,False
HOT_DRY,Rx5day,CanESM5,0.6238787012780821,False
HOT_DRY,SDII,CanESM5,1.0,False
HOT_DRY,R95p,CanESM5,0.7391973850449902,False
HOT_DRY,R99p,CanESM5,0.5810829413337419,False
HOT_DRY,CWD,CanESM5,0.4268635389378423,False
HOT_DRY,CDD,CanESM5,0.7344923394458999,False
