season_type,climate_year,season_start,season_end,enso_phase,oni_mean_c,n_overlapping_windows,n_el_nino_windows,n_la_nina_windows,n_neutral_windows
RAINY,1981,1981-05-01,1981-10-31,NEUTRAL,-0.2375,8,0,0,8
HOT_DRY,1981,1981-11-01,1982-04-30,TRANSITION_UNCLASSIFIED,0.07500000000000001,8,1,0,7
RAINY,1982,1982-05-01,1982-10-31,EL_NINO,1.1,8,7,0,1
HOT_DRY,1982,1982-11-01,1983-04-30,EL_NINO,1.7,8,8,0,0
RAINY,1983,1983-05-01,1983-10-31,TRANSITION_UNCLASSIFIED,0.10000000000000003,8,3,2,3
HOT_DRY,1983,1983-11-01,1984-04-30,LA_NINA,-0.6499999999999999,8,0,5,3
RAINY,1984,1984-05-01,1984-10-31,TRANSITION_UNCLASSIFIED,-0.4875,8,0,2,6
HOT_DRY,1984,1984-11-01,1985-04-30,LA_NINA,-0.8625,8,0,8,0
RAINY,1985,1985-05-01,1985-10-31,TRANSITION_UNCLASSIFIED,-0.475,8,0,3,5
HOT_DRY,1985,1985-11-01,1986-04-30,NEUTRAL,-0.2875,8,0,0,8
RAINY,1986,1986-05-01,1986-10-31,TRANSITION_UNCLASSIFIED,0.375,8,4,0,4
HOT_DRY,1986,1986-11-01,1987-04-30,EL_NINO,1.05,8,8,0,0
RAINY,1987,1987-05-01,1987-10-31,EL_NINO,1.2375,8,8,0,0
HOT_DRY,1987,1987-11-01,1988-04-30,TRANSITION_UNCLASSIFIED,0.3999999999999999,8,4,1,3
RAINY,1988,1988-05-01,1988-10-31,LA_NINA,-1.2125,8,0,7,1
HOT_DRY,1988,1988-11-01,1989-04-30,LA_NINA,-1.325,8,0,8,0
RAINY,1989,1989-05-01,1989-10-31,TRANSITION_UNCLASSIFIED,-0.4,8,0,2,6
HOT_DRY,1989,1989-11-01,1990-04-30,NEUTRAL,0.125,8,0,0,8
RAINY,1990,1990-05-01,1990-10-31,NEUTRAL,0.3,8,0,0,8
HOT_DRY,1990,1990-11-01,1991-04-30,TRANSITION_UNCLASSIFIED,0.32499999999999996,8,1,0,7
RAINY,1991,1991-05-01,1991-10-31,EL_NINO,0.7,8,7,0,1
HOT_DRY,1991,1991-11-01,1992-04-30,EL_NINO,1.2750000000000001,8,8,0,0
RAINY,1992,1992-05-01,1992-10-31,TRANSITION_UNCLASSIFIED,0.38750000000000007,8,3,0,5
HOT_DRY,1992,1992-11-01,1993-04-30,NEUTRAL,0.24999999999999997,8,0,0,8
RAINY,1993,1993-05-01,1993-10-31,NEUTRAL,0.4,8,0,0,8
HOT_DRY,1993,1993-11-01,1994-04-30,NEUTRAL,0.15000000000000002,8,0,0,8
RAINY,1994,1994-05-01,1994-10-31,TRANSITION_UNCLASSIFIED,0.42500000000000004,8,3,0,5
HOT_DRY,1994,1994-11-01,1995-04-30,EL_NINO,0.6125,8,6,0,2
RAINY,1995,1995-05-01,1995-10-31,TRANSITION_UNCLASSIFIED,-0.4375,8,0,4,4
HOT_DRY,1995,1995-11-01,1996-04-30,LA_NINA,-0.7125,8,0,6,2
RAINY,1996,1996-05-01,1996-10-31,NEUTRAL,-0.2875,8,0,0,8
HOT_DRY,1996,1996-11-01,1997-04-30,TRANSITION_UNCLASSIFIED,-0.1,8,1,0,7
RAINY,1997,1997-05-01,1997-10-31,EL_NINO,1.4875,8,7,0,1
HOT_DRY,1997,1997-11-01,1998-04-30,EL_NINO,1.7249999999999999,8,7,0,1
RAINY,1998,1998-05-01,1998-10-31,LA_NINA,-0.4375,8,1,5,2
HOT_DRY,1998,1998-11-01,1999-04-30,LA_NINA,-1.1375000000000002,8,0,8,0
RAINY,1999,1999-05-01,1999-10-31,LA_NINA,-0.9500000000000002,8,0,8,0
HOT_DRY,1999,1999-11-01,2000-04-30,LA_NINA,-1.15,8,0,8,0
RAINY,2000,2000-05-01,2000-10-31,LA_NINA,-0.5875,8,0,6,2
HOT_DRY,2000,2000-11-01,2001-04-30,LA_NINA,-0.5375000000000001,8,0,5,3
RAINY,2001,2001-05-01,2001-10-31,NEUTRAL,-0.175,8,0,0,8
HOT_DRY,2001,2001-11-01,2002-04-30,NEUTRAL,-0.037500000000000006,8,0,0,8
RAINY,2002,2002-05-01,2002-10-31,EL_NINO,0.65,8,6,0,2
HOT_DRY,2002,2002-11-01,2003-04-30,EL_NINO,0.625,8,5,0,3
RAINY,2003,2003-05-01,2003-10-31,NEUTRAL,0.07500000000000001,8,0,0,8
HOT_DRY,2003,2003-11-01,2004-04-30,NEUTRAL,0.225,8,0,0,8
RAINY,2004,2004-05-01,2004-10-31,TRANSITION_UNCLASSIFIED,0.38749999999999996,8,4,0,4
HOT_DRY,2004,2004-11-01,2005-04-30,EL_NINO,0.525,8,5,0,3
RAINY,2005,2005-05-01,2005-10-31,TRANSITION_UNCLASSIFIED,-0.03749999999999999,8,0,1,7
HOT_DRY,2005,2005-11-01,2006-04-30,LA_NINA,-0.575,8,0,5,3
RAINY,2006,2006-05-01,2006-10-31,TRANSITION_UNCLASSIFIED,0.23750000000000004,8,3,0,5
HOT_DRY,2006,2006-11-01,2007-04-30,TRANSITION_UNCLASSIFIED,0.325,8,4,0,4
RAINY,2007,2007-05-01,2007-10-31,LA_NINA,-0.7875,8,0,5,3
HOT_DRY,2007,2007-11-01,2008-04-30,LA_NINA,-1.4125,8,0,8,0
RAINY,2008,2008-05-01,2008-10-31,TRANSITION_UNCLASSIFIED,-0.5125,8,0,4,4
HOT_DRY,2008,2008-11-01,2009-04-30,LA_NINA,-0.55,8,0,5,3
RAINY,2009,2009-05-01,2009-10-31,EL_NINO,0.5,8,5,0,3
HOT_DRY,2009,2009-11-01,2010-04-30,EL_NINO,0.9375,8,6,0,2
RAINY,2010,2010-05-01,2010-10-31,LA_NINA,-0.8999999999999999,8,0,6,2
HOT_DRY,2010,2010-11-01,2011-04-30,LA_NINA,-1.125,8,0,8,0
RAINY,2011,2011-05-01,2011-10-31,LA_NINA,-0.6375,8,0,6,2
HOT_DRY,2011,2011-11-01,2012-04-30,LA_NINA,-0.625,8,0,5,3
RAINY,2012,2012-05-01,2012-10-31,NEUTRAL,0.12500000000000003,8,0,0,8
HOT_DRY,2012,2012-11-01,2013-04-30,NEUTRAL,-0.1,8,0,0,8
RAINY,2013,2013-05-01,2013-10-31,NEUTRAL,-0.2625,8,0,0,8
HOT_DRY,2013,2013-11-01,2014-04-30,NEUTRAL,-6.938893903907228e-18,8,0,0,8
RAINY,2014,2014-05-01,2014-10-31,TRANSITION_UNCLASSIFIED,0.3125,8,2,0,6
