season_type,variable,model,p_val_el_vs_la,diagnostic_only
RAINY,PRCPTOT,OBSERVED,0.2342657342657342,False
RAINY,Rx1day,OBSERVED,0.2524452516545861,False
RAINY,Rx5day,OBSERVED,0.2342657342657342,False
RAINY,SDII,OBSERVED,0.1806526806526806,False
RAINY,R95p,OBSERVED,0.5337995337995338,False
RAINY,R99p,OBSERVED,0.2342657342657342,False
RAINY,CWD,OBSERVED,0.6282051282051282,False
RAINY,CDD,OBSERVED,0.1741431302176989,False
HOT_DRY,PRCPTOT,OBSERVED,0.015049240840804,False
HOT_DRY,Rx1day,OBSERVED,0.7344923394458999,False
HOT_DRY,Rx5day,OBSERVED,0.038707628800508,False
HOT_DRY,SDII,OBSERVED,0.5208065412399778,False
HOT_DRY,R95p,OBSERVED,0.2082876875446535,False
HOT_DRY,R99p,OBSERVED,0.4386743921253033,False
HOT_DRY,CWD,OBSERVED,0.0022035389073017,False
HOT_DRY,CDD,OBSERVED,0.8506311026434865,False
RAINY,PRCPTOT,ACCESS-ESM1-5,0.9452214452214452,False
RAINY,Rx1day,ACCESS-ESM1-5,0.3659673659673659,False
RAINY,Rx5day,ACCESS-ESM1-5,1.0,False
RAINY,SDII,ACCESS-ESM1-5,0.8356643356643356,False
RAINY,R95p,ACCESS-ESM1-5,0.7307692307692307,False
RAINY,R99p,ACCESS-ESM1-5,0.6165905559145692,False
RAINY,CWD,ACCESS-ESM1-5,0.2342657342657342,False
RAINY,CDD,ACCESS-ESM1-5,0.6282051282051282,False
HOT_DRY,PRCPTOT,ACCESS-ESM1-5,0.3837421608319441,False
HOT_DRY,Rx1day,ACCESS-ESM1-5,0.7344923394458999,False
HOT_DRY,Rx5day,ACCESS-ESM1-5,0.910105580693816,False
HOT_DRY,SDII,ACCESS-ESM1-5,0.7920774787647853,False
HOT_DRY,R95p,ACCESS-ESM1-5,0.1535197702115356,False
HOT_DRY,R99p,ACCESS-ESM1-5,1.0,False
HOT_DRY,CWD,ACCESS-ESM1-5,0.9384797984036732,False
HOT_DRY,CDD,ACCESS-ESM1-5,0.1152655394141462,False
RAINY,PRCPTOT,ACCESS-ESM1-5,0.8356643356643356,False
RAINY,Rx1day,ACCESS-ESM1-5,0.7307692307692307,False
RAINY,Rx5day,ACCESS-ESM1-5,0.8356643356643356,False
RAINY,SDII,ACCESS-ESM1-5,0.3659673659673659,False
RAINY,R95p,ACCESS-ESM1-5,0.3659673659673659,False
RAINY,R99p,ACCESS-ESM1-5,0.3659673659673659,False
RAINY,CWD,ACCESS-ESM1-5,0.9452214452214452,False
RAINY,CDD,ACCESS-ESM1-5,0.5337995337995338,False
HOT_DRY,PRCPTOT,ACCESS-ESM1-5,0.7920774787647853,False
HOT_DRY,Rx1day,ACCESS-ESM1-5,1.0,False
HOT_DRY,Rx5day,ACCESS-ESM1-5,0.7344923394458999,False
HOT_DRY,SDII,ACCESS-ESM1-5,0.6238787012780821,False
HOT_DRY,R95p,ACCESS-ESM1-5,0.7280611426419807,False
HOT_DRY,R99p,ACCESS-ESM1-5,0.5236826292868997,False
HOT_DRY,CWD,ACCESS-ESM1-5,0.3341195270386536,False
HOT_DRY,CDD,ACCESS-ESM1-5,0.5713582599031516,False
RAINY,PRCPTOT,CESM2,0.3659673659673659,False
RAINY,Rx1day,CESM2,0.5337995337995338,False
RAINY,Rx5day,CESM2,0.3659673659673659,False
RAINY,SDII,CESM2,0.8356643356643356,False
RAINY,R95p,CESM2,0.6282051282051282,False
RAINY,R99p,CESM2,1.0,False
RAINY,CWD,CESM2,0.3659673659673659,False
RAINY,CDD,CESM2,0.1525627236365771,False
HOT_DRY,PRCPTOT,CESM2,0.4726680955783123,False
HOT_DRY,Rx1day,CESM2,0.3837421608319441,False
HOT_DRY,Rx5day,CESM2,0.4268635389378423,False
