model,season_type,variable,obs_anom_el,raw_anom_el,qdm_anom_el,dist_raw_el,dist_qdm_el,assessment_el
ACCESS-ESM1-5,RAINY,PRCPTOT,-77.3249999999997,32.16319444444446,48.73020833333328,109.48819444444416,126.05520833333298,farther
ACCESS-ESM1-5,RAINY,Rx1day,-13.091666666666676,2.425052083333327,11.388819444444458,15.516718750000003,24.480486111111134,farther
ACCESS-ESM1-5,RAINY,Rx5day,-17.45069444444445,9.634982638888914,21.2131597222222,27.085677083333366,38.66385416666665,farther
ACCESS-ESM1-5,RAINY,SDII,-0.747409652979746,-0.04221928773028161,0.08819708877793353,0.7051903652494644,0.8356067417576796,farther
ACCESS-ESM1-5,RAINY,R95p,-60.97534722222221,42.85818055555552,38.71465277777777,103.83352777777773,99.68999999999998,closer
ACCESS-ESM1-5,RAINY,R99p,-36.02638888888889,16.654888888888877,25.794305555555546,52.681277777777765,61.820694444444435,farther
ACCESS-ESM1-5,RAINY,CWD,-1.7743055555555571,3.6701388888888893,1.7916666666666643,5.444444444444446,3.5659722222222214,closer
ACCESS-ESM1-5,RAINY,CDD,1.322916666666666,-1.7361111111111125,1.9652777777777768,3.0590277777777786,0.6423611111111107,closer
ACCESS-ESM1-5,HOT_DRY,PRCPTOT,-75.15104166666666,-38.58000000000001,-71.61385416666667,36.571041666666645,3.5371874999999875,closer
ACCESS-ESM1-5,HOT_DRY,Rx1day,-9.634374999999999,0.08454166666666652,6.576041666666665,9.718916666666665,16.210416666666664,farther
ACCESS-ESM1-5,HOT_DRY,Rx5day,-27.990624999999994,-5.510677083333334,2.414270833333319,22.47994791666666,30.404895833333313,farther
ACCESS-ESM1-5,HOT_DRY,SDII,-2.057851545611433,-0.1882392865686373,0.8118277777165961,1.8696122590427955,2.869679323328029,farther
ACCESS-ESM1-5,HOT_DRY,R95p,-42.014583333333334,0.0,-18.06427083333333,42.014583333333334,23.950312500000003,closer
ACCESS-ESM1-5,HOT_DRY,R99p,-18.86458333333334,0.0,-3.812291666666667,18.86458333333334,15.052291666666672,closer
ACCESS-ESM1-5,HOT_DRY,CWD,-1.802083333333333,-2.2395833333333357,-1.6874999999999991,0.43750000000000266,0.11458333333333393,closer
ACCESS-ESM1-5,HOT_DRY,CDD,-4.020833333333336,3.822916666666668,3.4270833333333286,7.8437500000000036,7.447916666666664,closer
CESM2,RAINY,PRCPTOT,-77.3249999999997,-78.1302465277779,-81.5740625000002,0.8052465277781948,4.249062500000491,farther
CESM2,RAINY,Rx1day,-13.091666666666676,-5.49403472222221,-6.058263888888895,7.5976319444444655,7.033402777777781,closer
CESM2,RAINY,Rx5day,-17.45069444444445,-43.89761458333332,-28.65013888888889,26.44692013888887,11.199444444444438,closer
CESM2,RAINY,SDII,-0.747409652979746,-0.77634250426373,-1.0507901153833163,0.02893285128398393,0.3033804624035703,farther
CESM2,RAINY,R95p,-60.97534722222221,-63.89550347222226,-17.30142361111109,2.9201562500000477,43.67392361111112,farther
CESM2,RAINY,R99p,-36.02638888888889,-12.99900000000001,-10.458368055555546,23.02738888888888,25.568020833333343,farther
CESM2,RAINY,CWD,-1.7743055555555571,1.2395833333333357,-0.6215277777777786,3.013888888888893,1.1527777777777786,closer
CESM2,RAINY,CDD,1.322916666666666,3.7916666666666714,0.6145833333333339,2.4687500000000053,0.7083333333333321,closer
CESM2,HOT_DRY,PRCPTOT,-75.15104166666666,8.567250000000001,46.76135416666659,83.71829166666666,121.91239583333325,farther
CESM2,HOT_DRY,Rx1day,-9.634374999999999,-5.315083333333334,-4.298124999999999,4.319291666666665,5.33625,farther
