season_id,climate_year,season_type,ENSO_phase,station,PRCPTOT,wet_day_freq,SDII,Rx1day,Rx5day,R20mm,R50mm,R95p,R99p,CDD,CWD,source_type,model
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351001,1534.17,41.85,19.92,81.57,215.19,28,7,496.73,81.57,15,10,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351002,1180.03,42.39,15.13,52.42,138.58,23,1,230.82,0.0,15,10,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351003,1469.48,41.85,19.08,67.73,286.18,29,6,507.51,0.0,15,10,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351004,1616.22,36.96,23.77,85.48,352.93,32,8,660.97,165.06,18,9,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351005,1459.7,40.22,19.73,75.2,192.68,28,4,451.72,75.2,15,10,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351006,1523.2,44.57,18.58,69.36,252.22,30,6,1116.14,596.38,15,10,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351007,1377.73,58.7,12.76,53.22,202.05,25,1,799.53,311.82,11,16,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351008,1298.71,58.7,12.03,51.0,198.43,25,1,782.42,265.32,11,16,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351009,1253.25,58.15,11.71,45.48,123.71,20,0,856.81,568.19,11,14,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351010,1319.96,53.8,13.33,51.46,218.18,26,2,920.29,757.04,15,16,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351011,1355.76,79.89,9.22,31.19,95.38,13,0,0.0,0.0,4,24,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351012,1933.01,54.89,19.14,71.19,236.06,39,7,635.57,0.0,15,16,QDM,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351201,1859.07,52.17,19.37,80.32,204.91,37,4,622.62,80.32,14,14,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351001,293.55,9.89,16.31,44.08,89.4,6,0,87.11,0.0,63,6,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351002,172.64,8.79,10.79,36.44,59.83,3,0,0.0,0.0,63,4,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351003,222.19,6.04,20.2,55.67,102.13,5,1,137.5,0.0,116,4,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351004,146.9,2.75,29.38,51.84,91.22,3,1,51.84,0.0,117,2,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351005,222.35,8.24,14.82,45.84,70.11,5,0,45.84,0.0,63,4,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351006,155.56,5.49,15.56,51.81,94.74,3,1,113.14,90.09,116,3,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351007,155.61,11.54,7.41,31.13,63.78,3,0,80.3,0.0,64,4,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351008,128.49,10.44,6.76,28.36,57.67,2,0,50.64,0.0,64,4,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351009,191.6,13.74,7.66,27.3,55.8,1,0,94.56,27.3,63,7,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351010,142.68,8.79,8.92,33.63,66.97,3,0,94.32,59.79,64,4,QDM,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351011,170.38,19.78,4.73,17.02,39.18,0,0,0.0,0.0,48,8,QDM,ACCESS-ESM1-5
