Date,YEAR,MONTH,DAY,Precipitation_mm,QC_Flag,Source_Row
1961-01-01,1961,1,1,0.0,OK,2
1961-01-02,1961,1,2,0.0,OK,3
1961-01-03,1961,1,3,0.0,OK,4
1961-01-04,1961,1,4,0.0,OK,5
1961-01-05,1961,1,5,0.0,OK,6
1961-01-06,1961,1,6,0.0,OK,7
1961-01-07,1961,1,7,0.8,OK,8
1961-01-08,1961,1,8,1.0,OK,9
1961-01-09,1961,1,9,0.0,OK,10
1961-01-10,1961,1,10,0.0,OK,11
1961-01-11,1961,1,11,0.0,OK,12
1961-01-12,1961,1,12,0.0,OK,13
1961-01-13,1961,1,13,0.0,OK,14
1961-01-14,1961,1,14,0.0,OK,15
1961-01-15,1961,1,15,0.0,OK,16
1961-01-16,1961,1,16,0.0,OK,17
1961-01-17,1961,1,17,0.0,OK,18
1961-01-18,1961,1,18,0.0,OK,19
1961-01-19,1961,1,19,0.0,OK,20
1961-01-20,1961,1,20,0.0,OK,21
1961-01-21,1961,1,21,0.0,OK,22
1961-01-22,1961,1,22,0.0,OK,23
1961-01-23,1961,1,23,0.0,OK,24
1961-01-24,1961,1,24,0.0,OK,25
1961-01-25,1961,1,25,0.0,OK,26
1961-01-26,1961,1,26,0.0,OK,27
1961-01-27,1961,1,27,0.0,OK,28
1961-01-28,1961,1,28,0.0,OK,29
1961-01-29,1961,1,29,0.0,OK,30
1961-01-30,1961,1,30,0.0,OK,31
1961-01-31,1961,1,31,0.0,OK,32
1961-02-01,1961,2,1,3.0,OK,33
1961-02-02,1961,2,2,0.0,OK,34
1961-02-03,1961,2,3,0.0,OK,35
1961-02-04,1961,2,4,0.0,OK,36
1961-02-05,1961,2,5,0.0,OK,37
1961-02-06,1961,2,6,0.0,OK,38
1961-02-07,1961,2,7,0.0,OK,39
1961-02-08,1961,2,8,0.0,OK,40
1961-02-09,1961,2,9,0.0,OK,41
1961-02-10,1961,2,10,0.0,OK,42
1961-02-11,1961,2,11,0.0,OK,43
1961-02-12,1961,2,12,0.0,OK,44
1961-02-13,1961,2,13,0.0,OK,45
1961-02-14,1961,2,14,30.3,OK,46
1961-02-15,1961,2,15,0.0,OK,47
1961-02-16,1961,2,16,0.0,OK,48
1961-02-17,1961,2,17,0.0,OK,49
1961-02-18,1961,2,18,0.0,OK,50
1961-02-19,1961,2,19,0.0,OK,51
1961-02-20,1961,2,20,0.0,OK,52
1961-02-21,1961,2,21,0.0,OK,53
1961-02-22,1961,2,22,0.0,OK,54
1961-02-23,1961,2,23,0.0,OK,55
1961-02-24,1961,2,24,0.0,OK,56
1961-02-25,1961,2,25,0.0,OK,57
1961-02-26,1961,2,26,0.0,OK,58
1961-02-27,1961,2,27,0.0,OK,59
1961-02-28,1961,2,28,0.0,OK,60
1961-03-01,1961,3,1,0.0,OK,61
1961-03-02,1961,3,2,0.0,OK,62
1961-03-03,1961,3,3,0.0,OK,63
1961-03-04,1961,3,4,0.0,OK,64
1961-03-05,1961,3,5,0.0,OK,65
1961-03-06,1961,3,6,0.0,OK,66
1961-03-07,1961,3,7,0.0,OK,67
1961-03-08,1961,3,8,0.0,OK,68
1961-03-09,1961,3,9,0.0,OK,69
1961-03-10,1961,3,10,0.0,OK,70
1961-03-11,1961,3,11,0.0,OK,71
1961-03-12,1961,3,12,0.0,OK,72
1961-03-13,1961,3,13,0.0,OK,73
1961-03-14,1961,3,14,0.0,OK,74
1961-03-15,1961,3,15,0.0,OK,75
1961-03-16,1961,3,16,0.0,OK,76
1961-03-17,1961,3,17,0.0,OK,77
1961-03-18,1961,3,18,0.0,OK,78
1961-03-19,1961,3,19,0.0,OK,79
1961-03-20,1961,3,20,0.0,OK,80
1961-03-21,1961,3,21,0.0,OK,81
1961-03-22,1961,3,22,0.0,OK,82
1961-03-23,1961,3,23,0.0,OK,83
1961-03-24,1961,3,24,0.0,OK,84
1961-03-25,1961,3,25,0.0,OK,85
1961-03-26,1961,3,26,0.0,OK,86
1961-03-27,1961,3,27,0.0,OK,87
1961-03-28,1961,3,28,22.5,OK,88
1961-03-29,1961,3,29,0.0,OK,89
1961-03-30,1961,3,30,0.0,OK,90
1961-03-31,1961,3,31,0.0,OK,91
1961-04-01,1961,4,1,9.1,OK,92
1961-04-02,1961,4,2,0.0,OK,93
1961-04-03,1961,4,3,0.0,OK,94
1961-04-04,1961,4,4,0.0,OK,95
1961-04-05,1961,4,5,0.0,OK,96
