Year,PRCPTOT,SDII,Rx1day,Rx5day,CDD,CWD,R10mm,R20mm,R50mm,R95p,R99p,Valid_days,Completeness_percent
1961,1564.3,14.48,94.4,200.6,48,15,48,24,6,548.6,324.4,365,100.0
1962,1114.6,13.27,55.6,130.5,68,7,36,20,2,247.1,0.0,365,100.0
1963,1045.7,11.62,51.5,123.1,113,9,40,16,2,189.6,0.0,365,100.0
1964,1102.5,11.25,118.4,153.2,50,6,32,14,2,176.5,118.4,366,100.0
1965,991.9,11.4,55.7,96.9,66,7,36,18,1,105.4,0.0,365,100.0
1966,860.8,9.06,35.7,92.3,87,11,33,11,0,0.0,0.0,365,100.0
1967,1348.8,12.97,131.6,296.3,58,10,33,19,4,412.1,131.6,365,100.0
1968,1247.8,13.27,166.5,194.4,50,8,39,19,1,256.2,166.5,366,100.0
1969,1156.9,13.3,53.2,162.0,75,12,41,19,1,240.0,0.0,365,100.0
1970,1553.5,14.12,113.3,151.2,104,11,41,25,7,555.4,192.8,365,100.0
1971,1443.2,13.74,71.4,139.3,86,10,45,25,4,394.5,0.0,365,100.0
1972,1068.4,12.57,59.5,128.4,49,7,31,17,3,342.1,0.0,366,100.0
1973,1283.3,12.46,75.4,137.1,83,9,41,21,2,369.9,75.4,365,100.0
1974,1165.1,12.8,70.8,120.1,99,7,34,22,2,267.1,0.0,365,100.0
1975,1555.1,13.88,77.1,168.3,47,16,53,27,3,275.3,77.1,365,100.0
1976,1032.3,13.23,74.9,99.7,55,11,33,16,3,270.9,74.9,366,100.0
1977,1264.8,12.52,69.7,111.8,40,5,44,22,3,231.3,0.0,365,100.0
1978,1344.4,13.86,115.5,192.9,48,9,34,18,6,496.3,371.6,365,100.0
1979,961.9,12.49,66.2,100.0,87,7,29,17,4,224.5,0.0,365,100.0
1980,1214.5,14.81,92.9,158.0,140,6,39,22,3,274.1,92.9,366,100.0
1981,1207.5,12.32,75.1,90.0,107,9,40,15,2,280.8,75.1,365,100.0
1982,826.3,11.32,87.5,138.3,111,7,23,12,2,216.6,174.1,365,100.0
1983,1127.1,11.05,54.7,106.8,84,8,35,18,1,233.2,0.0,365,100.0
1984,774.3,9.33,36.3,86.3,70,7,26,12,0,0.0,0.0,366,100.0
1985,1215.7,13.07,73.6,125.0,89,6,43,19,4,225.9,73.6,365,100.0
1986,971.3,11.85,57.3,87.1,89,6,38,17,2,114.0,0.0,365,100.0
1987,1130.6,13.15,123.0,181.2,45,11,32,12,4,425.2,219.8,365,100.0
1988,1401.9,13.88,93.3,250.6,143,9,36,19,7,537.3,245.9,366,100.0
1989,1177.5,14.54,63.3,112.4,129,5,33,22,6,386.1,0.0,365,100.0
1990,1148.8,14.01,86.5,141.2,53,10,35,18,3,292.8,86.5,365,100.0
1991,993.9,10.04,58.1,142.9,52,7,30,13,2,210.3,0.0,365,100.0
1992,1030.3,12.56,105.8,117.1,60,11,30,17,3,265.2,105.8,366,100.0
1993,726.2,11.17,63.2,102.8,106,4,23,13,2,160.1,0.0,365,100.0
1994,1432.3,13.91,99.0,180.6,144,12,43,25,4,374.0,99.0,365,100.0
1995,1124.6,12.93,68.4,119.1,100,7,35,15,4,291.2,0.0,365,100.0
1996,1301.0,13.41,119.1,182.9,97,7,44,20,3,272.3,119.1,366,100.0
1997,898.3,10.95,65.2,111.0,139,11,27,13,2,168.6,0.0,365,100.0
1998,744.4,9.93,76.9,114.2,70,10,25,7,1,76.9,76.9,365,100.0
1999,1154.3,10.99,96.0,145.4,47,11,38,15,4,344.5,174.6,365,100.0
2000,1120.9,12.18,83.5,103.0,81,7,40,15,2,320.3,83.5,366,100.0
2001,1214.4,13.64,120.2,145.2,95,8,36,17,2,279.7,120.2,365,100.0
2002,1600.0,16.0,114.6,162.3,35,10,45,28,5,491.5,223.2,365,100.0
2003,881.6,11.6,67.8,119.9,63,8,28,11,3,236.8,0.0,365,100.0
2004,1201.8,12.92,144.4,192.3,82,14,36,16,3,360.5,258.2,366,100.0
2005,1386.9,13.21,69.1,145.8,94,8,42,20,5,377.2,0.0,365,100.0
2006,1495.4,14.38,96.4,175.8,92,8,44,26,4,518.9,170.3,365,100.0
2007,1119.1,13.32,103.3,128.5,187,15,40,20,1,145.0,103.3,365,100.0
2008,1125.1,10.14,70.9,141.4,67,8,38,15,1,201.3,0.0,366,100.0
2009,1055.8,11.73,72.4,137.3,80,10,34,19,3,192.2,0.0,365,100.0
2010,1146.9,12.47,120.1,194.9,51,7,38,16,2,335.0,198.7,365,100.0
2011,1435.2,12.37,81.6,123.7,60,12,56,20,2,201.2,159.7,365,100.0
2012,945.0,10.86,54.2,141.0,65,7,34,18,1,96.4,0.0,366,100.0
2013,1273.2,13.69,93.2,157.8,60,7,43,23,2,239.3,93.2,365,100.0
2014,1049.2,13.99,72.2,161.2,98,4,31,13,4,353.3,0.0,365,100.0
2015,819.0,10.78,48.0,84.5,72,4,27,15,0,137.3,0.0,365,100.0
2016,1168.4,10.62,46.6,101.8,51,9,41,19,0,177.9,0.0,366,100.0
2017,1403.8,13.76,124.8,216.6,82,8,46,24,4,326.6,124.8,365,100.0
2018,963.2,10.58,57.7,111.0,69,14,30,15,2,201.1,0.0,365,100.0
2019,971.7,12.46,81.6,104.1,101,5,32,12,2,276.0,81.6,365,100.0
