Year,PRCPTOT,SDII,Rx1day,Rx5day,CDD,CWD,R10mm,R20mm,R50mm,R95p,R99p
1961,1416.3,12.76,111.6,131.5,70,11,39,18,5,363.7,197.1
1962,1215.5,13.51,105.5,141.8,57,7,32,18,5,344.0,105.5
1963,1521.2,15.06,73.0,153.3,65,8,45,26,5,305.0,0.0
1964,1708.2,17.61,100.5,159.3,102,6,48,26,11,714.6,197.3
1965,1231.6,15.99,68.2,166.4,42,9,41,22,5,296.6,0.0
1966,1495.5,14.81,79.8,202.5,39,13,44,21,9,569.0,0.0
1967,1048.6,11.92,54.5,136.8,49,11,40,18,1,54.5,0.0
1968,1009.5,12.46,48.0,116.4,50,7,34,18,0,0.0,0.0
1969,1259.5,14.82,98.7,165.8,65,6,34,19,6,425.9,185.3
1970,1689.4,17.24,126.6,315.0,38,5,43,25,7,641.9,434.4
1971,1542.9,16.95,99.5,150.2,66,8,59,29,2,171.0,99.5
1972,1253.0,13.19,77.0,138.1,49,7,40,22,4,264.3,0.0
1973,1242.9,14.12,107.6,110.9,65,13,35,22,4,261.2,107.6
1974,1508.2,14.79,82.4,120.0,60,5,46,22,6,418.0,82.4
1975,1567.1,14.51,78.3,227.2,51,9,52,26,4,268.1,0.0
1976,1426.8,15.34,141.5,196.4,50,11,47,23,4,345.9,141.5
1977,1414.6,16.45,265.7,300.0,60,8,40,22,3,374.5,265.7
1978,1216.1,13.22,66.2,121.5,56,5,40,19,2,131.5,0.0
1979,925.0,12.85,63.8,140.9,103,7,33,14,2,115.2,0.0
1980,1763.4,17.63,116.1,170.0,52,11,51,28,8,619.3,319.6
1981,1297.9,12.72,63.4,124.5,43,10,42,21,3,176.9,0.0
1982,1167.0,12.97,88.7,120.2,44,9,39,15,4,276.1,88.7
1983,1511.3,18.89,105.0,153.5,40,7,40,27,6,461.2,203.5
1984,1003.5,11.28,54.0,106.7,54,10,39,15,1,54.0,0.0
1985,1636.8,15.59,184.8,311.0,41,9,42,19,7,647.0,368.5
1986,1227.5,16.15,73.8,139.9,59,5,38,23,7,428.6,0.0
1987,1138.8,14.24,54.2,117.6,51,6,36,20,4,209.6,0.0
1988,1311.2,14.25,130.5,153.7,46,9,41,23,3,260.2,130.5
1989,1385.7,18.48,93.3,222.4,44,6,43,22,7,509.6,184.2
1990,1038.8,13.15,52.4,81.8,67,7,37,19,2,103.6,0.0
1991,946.8,13.72,82.2,139.1,71,6,34,16,3,185.1,82.2
1992,1119.1,14.92,71.2,158.7,74,8,37,22,2,133.5,0.0
1993,940.5,14.47,68.6,116.8,86,6,27,17,4,250.9,0.0
1994,1545.0,14.58,100.8,168.0,39,7,43,21,6,468.4,273.7
1995,1643.2,18.06,83.1,204.5,58,6,46,31,7,448.4,83.1
1996,1642.1,15.79,66.1,119.8,48,8,49,33,6,342.0,0.0
1997,952.6,13.23,79.3,155.5,85,7,34,15,1,79.3,0.0
1998,1392.0,16.0,111.1,279.1,35,11,40,25,4,336.4,197.0
1999,1360.0,14.47,167.1,262.3,51,7,37,20,4,343.8,167.1
2000,1316.8,15.49,136.8,142.8,61,7,39,17,5,393.6,136.8
2001,1051.7,11.43,69.0,130.8,48,8,38,18,1,69.0,0.0
2002,1352.5,14.09,94.3,245.4,63,10,39,19,5,431.9,94.3
2003,995.2,13.09,67.2,128.2,79,9,36,17,3,183.6,0.0
2004,1457.8,18.0,121.1,191.7,71,11,42,26,7,495.8,121.1
2005,1211.8,14.78,88.3,158.9,47,9,34,20,5,342.3,88.3
2006,1503.8,14.46,99.7,226.8,50,10,41,25,4,299.1,99.7
2007,1630.9,16.31,124.1,164.8,42,8,52,27,6,461.4,209.4
2008,1326.0,15.42,76.9,151.5,53,13,47,18,5,331.0,0.0
2009,1339.3,14.56,82.8,150.6,58,7,41,23,5,303.5,82.8
2010,1361.9,14.04,93.8,151.9,67,10,37,22,4,289.0,176.3
2011,1849.6,14.8,80.4,167.1,52,8,61,36,6,345.9,0.0
2012,1218.7,14.51,72.6,118.9,33,6,38,19,6,383.3,0.0
2013,1462.0,17.4,91.5,155.4,48,7,44,25,6,396.8,91.5
2014,1315.2,16.44,72.1,148.6,80,7,43,24,4,261.7,0.0
2015,883.9,11.33,91.0,98.0,36,4,25,13,4,279.3,91.0
2016,1369.4,16.11,118.8,162.5,111,6,43,24,5,385.0,205.5
2017,1610.8,18.1,114.4,186.3,45,6,45,23,7,565.5,305.3
2018,1142.7,13.44,125.3,196.1,50,6,31,17,3,283.9,225.1
2019,850.2,11.19,70.9,93.7,64,6,26,12,2,123.3,0.0
