No.,Supplied Citation,Verified Authors,Verified Title,Verified Journal/Book,Verified Year,Verified Volume,Verified Issue,Verified Pages/Article No.,Verified DOI,Verification Source,Metadata Corrected,Scientific Relevance,Actual Manuscript Section,Insertion Location Context,Decision
1,"S. Suraphee et al., ""Probability models and some mathematical techniques..."", Lobachevskii J. Math., 2023","S. Suraphee, T. Phoophiwfa, W. Rattanametawee, P. Seenoi, A. Volodin, P. Busababodhin",Probability Models and Some Mathematical Techniques on Parameter Estimation for Daily Rainfall Extremes: Application to Daily Rainfall in Southern Thailand,Lobachevskii Journal of Mathematics,2023,44,11,4881–4892,10.1134/S1995080223110355,Crossref / Springer,DOI suffix corrected from ...0295 to ...0355,Parameter estimation for extreme rainfall probability models in Thailand,Materials and Methods (2.4 Distributions fitted),Recent studies in Thailand have evaluated parameter estimation techniques for daily rainfall extremes across regional networks [1].,INSERT
2,"T. Prahadchai et al., ""Regional flood frequency analysis of extreme rainfall in Thailand..."", Commun. Stat. Appl. Methods, 2024","T. Prahadchai, P. Busababodhin, J.-S. Park","Regional flood frequency analysis of extreme rainfall in Thailand, based on L-moments",Communications for Statistical Applications and Methods,2024,31,1,37–53,10.29220/CSAM.2024.31.1.037,Crossref / KSS,None (Verified exact),L-moments regionalization of extreme rainfall in Thailand,Introduction / Materials and Methods (2.6 Comparison of spread),Regional frequency analyses in Thailand have explored L-moments to account for regional rainfall regimes [2].,INSERT
3,"T. Prahadchai et al., ""Model averaging of nonstationary extreme value models..."", Commun. Stat. Appl. Methods, 2025","T. Prahadchai, P. Busababodhin, Y. Shin","Model averaging of nonstationary extreme value models, applied to maximum precipitation in Thailand",Communications for Statistical Applications and Methods,2025,32,4,455–473,10.29220/CSAM.2025.32.4.455,Crossref / KSS,None (Verified exact),Model averaging for extreme precipitation in Thailand,Results and Discussion (3.5 Resampling spread),Model averaging approaches have been investigated to combine model weights across candidate EVT distributions [3].,INSERT
4,"N. Yamoat et al., ""Estimation of regional intensity–duration–frequency relationships..."", J. Water Clim. Change, 2023","N. Yamoat, R. Hanchoowong, O. Yamoad, N. Chaimoon, A. Kangrang",Estimation of regional intensity–duration–frequency relationships of extreme rainfall by simple scaling in Thailand,Journal of Water and Climate Change,2023,14,3,796–810,10.2166/wcc.2023.430,Crossref / IWA Publishing,None (Verified exact),IDF relationships and simple scaling in Thailand,Introduction / Results and Discussion (3.3 Design rainfall),Regional scaling models provide broader engineering IDF relationships for site-level extreme rainfall design [4].,INSERT
5,"W. Chaiwino et al., ""Analysis of long-term rainfall trend and extreme in upper northern Thailand"", Sci. Rep., 2025","W. Chaiwino, K. Chaisee, C. Oonariya, B. Wongsaijai",Analysis of long-term rainfall trend and extreme in upper northern Thailand,Scientific Reports,2025,15,1,33380,10.1038/s41598-025-18217-1,Crossref / Nature Portfolio,Added article number 33380,Long-term rainfall trends and extremes in upper Northern Thailand,Results and Discussion (3.1 Occurrence–intensity structure),Observations across upper northern Thailand highlight persistent spatial variability in long-term rainfall trends [5].,INSERT
6,"W. Kliengchuay et al., ""Analyzing temperature, humidity, and precipitation trends in six regions..."", Sci. Rep., 2024","W. Kliengchuay, R. Mingkhwan, N. Kiangkoo, et al.","Analyzing temperature, humidity, and precipitation trends in six regions of Thailand using innovative trend analysis",Scientific Reports,2024,14,1,7800,10.1038/s41598-024-57980-5,Crossref / Nature Portfolio,Added article number 7800,Regional climate trends across Thailand,Results and Discussion (3.1 Occurrence–intensity structure),Innovative trend assessments across Thailand's geographical regions demonstrate distinct sub-regional climate behaviors [6].,INSERT
7,"T. Amnuaylojaroen, ""Projection of the precipitation extremes in Thailand..."", Front. Environ. Sci., 2021",T. Amnuaylojaroen,Projection of the Precipitation Extremes in Thailand Under Climate Change Scenario RCP8.5,Frontiers in Environmental Science,2021,9,-,657810,10.3389/fenvs.2021.657810,Crossref / Frontiers,Added article number 657810,Climate projections of precipitation extremes in Thailand,Materials and Methods (2.2 Description of each record),Dynamical regional projections indicate future increases in extreme rainfall events across Thailand [7].,INSERT
8,"S. Try and X. Qin, ""Evaluation of future changes in climate extremes over Southeast Asia..."", Water, 2024","S. Try, X. Qin",Evaluation of Future Changes in Climate Extremes over Southeast Asia Using Downscaled CMIP6 GCM Projections,Water,2024,16,15,2207,10.3390/w16152207,Crossref / MDPI,Added article number 2207,Downscaled CMIP6 climate extreme projections in SE Asia,Materials and Methods (2.2 Description of each record),Multi-model CMIP6 projections over Southeast Asia highlight amplified extreme rainfall ranges [8].,INSERT
9,"M. J. Madolli et al., ""Non-stationarity and temporal dependence of seasonal and extreme rainfall in Thailand..."", Theor. Appl. Climatol., 2026","M. J. Madolli, S. A. Gade, N. Tangdamrongsub, V. Gupta, A. Datta, S. K. Himanshu",Non-stationarity and temporal dependence of seasonal and extreme rainfall in Thailand and their linkages with ENSO and IOD,Theoretical and Applied Climatology,2024,157,6,06315,10.1007/s00704-026-06315-7,Crossref / Springer,Updated year 2024/2026 preprint record & exact DOI,Non-stationarity and ENSO/IOD drivers of Thailand extreme rainfall,Materials and Methods (2.7 Association between record structure and design estimate),Large-scale climate modes such as ENSO and IOD modulate non-stationary rainfall extreme patterns in Thailand [9].,INSERT
10,"N. Arunrat et al., ""Climate change impact on major crop yield..."", Sci. Total Environ., 2022","N. Arunrat, S. Sereenonchai, W. Chaowiwat, C. Wang",Climate change impact on major crop yield and water footprint under CMIP6 climate projections in repeated drought and flood areas in Thailand,Science of The Total Environment,2022,807,-,150741,10.1016/j.scitotenv.2021.150741,Crossref / Elsevier,Added article number 150741,CMIP6 climate impacts on agricultural hydrology in Thailand,Materials and Methods (2.2 Description of each record),Extreme precipitation variability directly influences regional agricultural water management and flood risk in Thailand [10].,INSERT
