station,bootstrap_type,B_requested,B_accepted,B_rejected,acceptance_rate,fit_failures_gumbel,fit_failures_gev,fit_failures_lp3,gev_likelihood_violations,gev_nesting_violations,return_level_failures,selection_failures,selected_Gumbel,selected_GEV,selected_LP3
351002,fixed_selection,2000,2000,0,1.0,0,0,0,9,0,0,0,2000,0,0
351004,fixed_selection,2000,2000,0,1.0,0,0,0,10,0,0,0,2000,0,0
351003,fixed_selection,2000,2000,0,1.0,0,0,0,0,0,0,0,0,0,2000
351001,fixed_selection,2000,2000,0,1.0,0,0,0,0,0,0,0,0,0,2000
351005,fixed_selection,2000,2000,0,1.0,0,0,0,7,0,0,0,2000,0,0
351006,fixed_selection,2000,2000,0,1.0,0,0,0,4,3,0,0,0,0,2000
351007,fixed_selection,2000,2000,0,1.0,0,0,0,1,1,0,0,0,0,2000
351008,fixed_selection,2000,2000,0,1.0,0,0,0,0,0,0,0,0,0,2000
351010,fixed_selection,2000,2000,0,1.0,0,0,0,55,43,0,0,2000,0,0
351009,fixed_selection,2000,2000,0,1.0,0,0,0,24,20,0,0,0,0,2000
351012,fixed_selection,2000,2000,0,1.0,0,0,0,7,0,0,0,2000,0,0
351011,fixed_selection,2000,2000,0,1.0,0,0,0,1,0,0,0,0,0,2000
351201,fixed_selection,2000,2000,0,1.0,0,0,0,0,0,0,0,0,0,2000
351001,selection_inclusive,2000,2000,0,1.0,0,0,0,0,0,0,0,408,4,1588
351002,selection_inclusive,2000,2000,0,1.0,0,0,0,14,0,0,0,1723,0,277
351003,selection_inclusive,2000,2000,0,1.0,0,0,0,0,0,0,0,482,0,1518
351004,selection_inclusive,2000,2000,0,1.0,0,0,0,8,0,0,0,1548,0,452
351005,selection_inclusive,2000,2000,0,1.0,0,0,0,15,0,0,0,1670,0,330
351006,selection_inclusive,2000,2000,0,1.0,0,0,0,0,0,0,0,362,206,1432
351007,selection_inclusive,2000,2000,0,1.0,0,0,0,0,0,0,0,151,189,1660
351008,selection_inclusive,2000,2000,0,1.0,0,0,0,1,0,0,0,671,0,1329
351009,selection_inclusive,2000,2000,0,1.0,0,0,0,28,21,0,0,771,0,1229
351010,selection_inclusive,2000,2000,0,1.0,0,0,0,68,42,0,0,1552,0,448
351011,selection_inclusive,2000,2000,0,1.0,0,0,0,1,0,0,0,528,0,1472
351012,selection_inclusive,2000,2000,0,1.0,0,0,0,4,0,0,0,1271,0,729
351201,selection_inclusive,2000,2000,0,1.0,0,0,0,0,0,0,0,410,0,1590
