station,selected_dist,B_accepted_selection,B_accepted_fixed,sel_RL_2_ci_lo,sel_RL_2_ci_hi,fix_RL_2_ci_lo,fix_RL_2_ci_hi,sel_RL_5_ci_lo,sel_RL_5_ci_hi,fix_RL_5_ci_lo,fix_RL_5_ci_hi,sel_RL_10_ci_lo,sel_RL_10_ci_hi,fix_RL_10_ci_lo,fix_RL_10_ci_hi,sel_RL_25_ci_lo,sel_RL_25_ci_hi,fix_RL_25_ci_lo,fix_RL_25_ci_hi,sel_RL_50_ci_lo,sel_RL_50_ci_hi,fix_RL_50_ci_lo,fix_RL_50_ci_hi,sel_RL_100_ci_lo,sel_RL_100_ci_hi,fix_RL_100_ci_lo,fix_RL_100_ci_hi
351001,LP3,2000,2000,70.97,105.51,71.01,103.33,94.59,155.0,97.28,154.5,114.7,201.07,120.22,200.35,140.78,286.02,154.13,284.4,162.52,376.8,178.62,376.2,182.93,499.29,209.76,499.59
351002,Gumbel,2000,2000,63.03,80.52,62.73,79.94,83.24,108.42,82.42,108.36,94.62,128.88,95.53,127.71,103.58,157.52,111.59,152.49,108.36,183.09,123.12,170.75,112.58,207.98,134.54,189.09
351003,LP3,2000,2000,69.17,110.07,69.83,109.95,105.54,138.98,106.25,138.8,123.6,148.07,123.58,148.09,136.87,162.32,136.38,160.88,141.02,180.85,140.75,174.16,143.78,200.84,143.78,187.54
351004,Gumbel,2000,2000,65.07,96.81,71.79,94.95,92.57,133.4,95.91,132.62,113.89,157.46,111.53,157.94,137.82,204.83,130.72,189.99,153.5,256.05,145.41,214.41,167.22,325.1,159.32,238.02
351005,Gumbel,2000,2000,65.61,82.4,65.03,81.54,86.41,109.39,86.63,109.64,94.39,128.34,100.61,128.65,100.81,152.82,117.54,152.99,103.57,171.19,130.22,171.27,105.56,189.88,142.79,189.39
351006,GEV,2000,2000,32.14,43.52,32.46,50.87,40.7,71.74,39.21,72.82,44.57,101.64,42.62,86.22,48.59,158.3,45.68,101.47,50.68,222.34,47.31,112.91,52.28,312.01,48.67,123.76
351007,GEV,2000,2000,30.45,43.53,30.85,53.77,39.11,79.57,37.79,83.3,43.31,120.78,41.02,101.4,47.29,211.8,44.8,122.53,50.09,320.23,47.19,136.77,52.69,483.08,49.25,151.92
351008,LP3,2000,2000,40.93,67.28,40.74,66.16,64.97,103.59,64.55,103.89,82.38,135.53,83.91,134.98,103.66,194.09,105.61,196.78,116.03,262.74,117.85,264.84,127.21,355.5,130.26,360.49
351009,LP3,2000,2000,23.08,30.02,22.99,29.51,29.13,41.73,29.69,41.02,32.51,52.17,34.56,51.67,36.21,70.28,40.91,68.88,38.29,89.25,45.94,86.12,40.45,111.57,51.19,107.98
351010,Gumbel,2000,2000,23.24,30.4,24.24,30.29,30.43,40.61,30.38,40.47,34.9,48.34,34.37,47.04,40.22,61.29,39.26,55.85,44.1,74.92,42.82,62.3,48.01,91.21,46.5,68.84
351011,LP3,2000,2000,67.75,127.44,68.09,123.48,109.1,191.9,110.55,190.05,148.98,242.68,150.05,241.87,202.65,353.86,206.73,352.15,231.91,498.9,238.63,491.76,254.08,699.94,269.23,690.09
351012,Gumbel,2000,2000,74.26,119.38,84.16,119.09,114.28,174.82,119.16,175.63,142.48,220.6,142.41,213.51,171.21,311.71,171.41,261.91,186.16,416.61,193.09,298.66,196.28,562.08,214.41,334.52
351201,LP3,2000,2000,65.68,91.92,66.05,91.31,92.68,136.94,92.69,137.53,106.98,180.4,111.41,182.24,122.86,259.8,133.88,263.72,135.41,346.29,151.09,353.45,146.72,462.06,168.24,474.35
