station,n,selected_model,logL_gumbel,logL_gev,logL_lp3,AICc_gumbel,AICc_gev,AICc_lp3,delta_AICc,weight_gumbel,weight_gev,weight_lp3,gev_xi,gumbel_params,gev_params,lp3_params,fit_validity,RL_2,RL_5,RL_10,RL_25,RL_50,RL_100
351001,34,LP3,-175.0092,-172.2826,-172.134,354.41,351.37,351.07,-3.0404,0.0919,0.4204,0.4877,0.35797,"[np.float64(79.7516), 32.9899]","[0.358, 74.1469, 26.6655]","[0.866, 4.5131, 0.4474]",VALID,85.57,128.87,165.96,224.16,276.97,339.05
351002,34,Gumbel,-158.0134,-158.0126,-158.003,320.41,322.83,322.81,2.4114,0.6243,0.187,0.1888,-0.004559,"[np.float64(63.0687), 21.6233]","[-0.0046, 63.1223, 21.6532]","[-0.0504, 4.2603, 0.3561]",VALID,70.99,95.5,111.73,132.23,147.44,162.54
351003,34,LP3,-175.5314,-173.1531,-169.6631,355.45,353.11,346.13,-2.3437,0.0091,0.0293,0.9616,-0.457791,"[np.float64(67.3442), 37.3334]","[-0.4578, 76.8197, 43.0326]","[-2.0292, 4.3474, 0.7062]",VALID,96.22,133.43,144.61,150.99,153.04,154.05
351004,34,Gumbel,-167.8735,-167.4323,-166.9748,340.13,341.66,340.75,1.5305,0.4545,0.2114,0.3341,0.206475,"[np.float64(72.5132), 27.929]","[0.2065, 69.571, 25.1918]","[0.78, 4.4133, 0.4204]",VALID,82.75,114.41,135.36,161.85,181.49,200.99
351005,34,Gumbel,-158.0316,-157.7365,-157.6466,320.45,322.27,322.09,1.8228,0.543,0.2182,0.2388,-0.095805,"[np.float64(65.1222), 22.0826]","[-0.0958, 66.2966, 22.6333]","[-0.3218, 4.2908, 0.345]",VALID,73.22,98.24,114.82,135.75,151.29,166.71
351006,34,GEV,-152.7579,-142.2543,-142.4099,309.9,291.31,291.62,-18.5943,0.0,0.5388,0.4611,0.543959,"[np.float64(36.4702), 15.6183]","[0.544, 32.9889, 9.8659]","[1.4946, 3.7333, 0.4722]",VALID,36.27,43.11,45.79,47.94,48.95,49.64
351007,34,GEV,-161.6712,-148.2535,-148.6336,327.73,303.31,304.07,-24.4226,0.0,0.5939,0.4061,0.632941,"[np.float64(35.9806), 20.2344]","[0.6329, 31.1338, 11.1483]","[1.446, 3.7291, 0.561]",VALID,34.78,41.93,44.51,46.42,47.26,47.79
351008,34,LP3,-164.7769,-163.1863,-162.7754,333.94,333.17,332.35,-0.7684,0.2135,0.3136,0.4729,0.320603,"[np.float64(47.1532), 24.9118]","[0.3206, 43.2094, 20.9172]","[0.5504, 3.992, 0.5503]",VALID,51.51,84.3,112.36,156.23,195.83,242.1
351009,34,LP3,-123.6898,-121.4933,-121.3539,251.77,249.79,249.51,-1.9801,0.1474,0.3966,0.456,0.298251,"[np.float64(24.5835), 7.3155]","[0.2983, 23.511, 6.1931]","[1.001, 3.3169, 0.3403]",VALID,26.08,35.68,43.51,55.27,65.51,77.15
351010,34,Gumbel,-122.4646,-121.7639,-121.5529,249.32,250.33,249.91,1.0116,0.426,0.2569,0.3172,0.183532,"[np.float64(24.4571), 7.2573]","[0.1835, 23.7776, 6.6553]","[0.7773, 3.3104, 0.3321]",VALID,27.12,35.34,40.79,47.67,52.77,57.84
351011,34,LP3,-186.0706,-184.1657,-183.3229,376.53,375.13,373.45,-1.397,0.1302,0.2618,0.608,0.485344,"[np.float64(84.6053), 46.8405]","[0.4853, 73.9882, 35.6722]","[1.2274, 4.5824, 0.6268]",VALID,86.27,154.36,226.43,363.04,510.59,711.33
351012,34,Gumbel,-180.5133,-180.0047,-179.5904,365.41,366.81,365.98,1.3957,0.4443,0.2211,0.3346,0.177535,"[np.float64(85.0381), 40.4994]","[0.1775, 81.2557, 37.1119]","[0.2387, 4.5768, 0.4919]",VALID,99.88,145.78,176.18,214.58,243.06,271.34
351201,34,LP3,-168.9153,-166.1499,-165.8883,342.22,339.1,338.58,-3.1178,0.0838,0.3985,0.5177,0.324685,"[np.float64(73.8976), 27.3391]","[0.3247, 69.5574, 22.7152]","[1.0597, 4.4301, 0.4193]",VALID,78.05,114.97,147.26,198.8,246.31,302.89
