artifact,station,variable,canonical_value,artifact_value,absolute_difference,relative_difference,status,source,action_taken
Table 2,351001,selected_model,LP3,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351001,AICc_Gumbel,354.4,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351001,AICc_GEV,356.5,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351001,AICc_LP3,351.1,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351001,Akaike_weight_selected,0.797,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351001,GEV_shape_xi,-0.0208,,0.0,-0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351002,selected_model,Gumbel,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351002,AICc_Gumbel,320.4,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351002,AICc_GEV,322.8,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351002,AICc_LP3,322.8,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351002,Akaike_weight_selected,0.624,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351002,GEV_shape_xi,0.0018,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351003,selected_model,LP3,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351003,AICc_Gumbel,355.4,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351003,AICc_GEV,357.7,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351003,AICc_LP3,343.5,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351003,Akaike_weight_selected,0.997,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351003,GEV_shape_xi,0.0159,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351004,selected_model,Gumbel,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351004,AICc_Gumbel,340.1,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351004,AICc_GEV,342.5,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351004,AICc_LP3,340.7,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351004,Akaike_weight_selected,0.488,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351004,GEV_shape_xi,-0.0142,,0.0,-0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351005,selected_model,Gumbel,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351005,AICc_Gumbel,320.5,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351005,AICc_GEV,322.8,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351005,AICc_LP3,322.1,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351005,Akaike_weight_selected,0.57,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351005,GEV_shape_xi,0.0113,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351006,selected_model,LP3,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351006,AICc_Gumbel,309.9,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351006,AICc_GEV,308.6,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351006,AICc_LP3,291.6,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351006,Akaike_weight_selected,1.0,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351006,GEV_shape_xi,-0.0456,,0.0,-0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351007,selected_model,LP3,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351007,AICc_Gumbel,327.7,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351007,AICc_GEV,329.1,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351007,AICc_LP3,304.1,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351007,Akaike_weight_selected,1.0,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351007,GEV_shape_xi,-0.0183,,0.0,-0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351008,selected_model,LP3,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351008,AICc_Gumbel,333.9,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351008,AICc_GEV,336.2,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351008,AICc_LP3,332.4,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351008,Akaike_weight_selected,0.626,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351008,GEV_shape_xi,-0.0109,,0.0,-0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351009,selected_model,LP3,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351009,AICc_Gumbel,251.8,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351009,AICc_GEV,253.9,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351009,AICc_LP3,249.5,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351009,Akaike_weight_selected,0.697,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351009,GEV_shape_xi,-0.0145,,0.0,-0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351010,selected_model,Gumbel,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351010,AICc_Gumbel,249.3,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351010,AICc_GEV,251.6,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
Table 2,351010,AICc_LP3,249.9,,0.0,0.0,REGENERATED,canonical_fit,Updated from canonical full-record fit
