station,aicc_gumbel,aicc_gev,aicc_lp3,inv_diff_gev_gumbel,selected,ak_weight_selected,gumbel_p,gev_p,lp3_p,logL_gumbel,logL_gev,logL_lp3
351001,354.4,351.4,351.1,-3.0404,LP3,0.488,"[np.float64(79.75164804907546), 32.989852912832745]","[0.3579700616870455, 74.14691928858974, 26.665463259095674]","[0.8660053046068752, 4.513108134805355, 0.4473845676951169]",-175.0092435450822,-172.2826167451691,-172.13403081701546
351002,320.4,322.8,322.8,2.4114,Gumbel,0.624,"[np.float64(63.06866067669871), 21.62327051250891]","[-0.004559398426228661, 63.12227931438614, 21.653247716151846]","[-0.050402165504921326, 4.2603360485938735, 0.35605579059929243]",-158.01335109112185,-158.01258814126908,-158.00295813950552
351003,355.4,353.1,345.4,-2.3437,LP3,0.972,"[np.float64(67.34421013437546), 37.33336982857782]","[-0.45779072200773674, 76.81971824420724, 43.03264222970972]","[-2.0431903211561964, 4.352409748210092, 0.7059379812930191]",-175.53143191842202,-173.15311622656645,-169.32306965015587
351004,340.1,341.7,340.7,1.5305,Gumbel,0.454,"[np.float64(72.51322771661921), 27.929015302976953]","[0.20647517927359305, 69.5709503069196, 25.191771921399916]","[0.7877700395488115, 4.412234272997571, 0.4204157669225455]",-167.8735463818311,-167.43232289339306,-166.9746476665253
351005,320.5,322.3,322.1,1.8228,Gumbel,0.543,"[np.float64(65.12219960132715), 22.08261798425742]","[-0.09580478253378671, 66.29660589618143, 22.633281797849797]","[-0.32183901452556135, 4.2907811632735235, 0.34498577458744784]",-158.03158102052936,-157.7365354504339,-157.64655236885514
351006,309.9,291.3,291.6,-18.5943,GEV,0.539,"[np.float64(36.47024010324198), 15.618275406703674]","[0.5439590000389576, 32.98891449351399, 9.865926617603975]","[1.4945781713525843, 3.733290562416279, 0.47216393296545633]",-152.75786945313283,-142.2542867142678,-142.4099148534015
351007,327.7,303.3,304.1,-24.4226,GEV,0.594,"[np.float64(35.98056456170701), 20.23444181876289]","[0.6329409723633218, 31.13377359959189, 11.148331826993925]","[1.446006087236297, 3.7291408705131652, 0.5610408762826091]",-161.67119450618443,-148.25346142793205,-148.63363155918256
351008,333.9,333.2,332.4,-0.7684,LP3,0.473,"[np.float64(47.15322984124205), 24.911817088259447]","[0.3206034004443453, 43.20943635688933, 20.917169169020532]","[0.5492905290628081, 3.99156062169635, 0.5501736848187073]",-164.77692427662143,-163.1862527722937,-162.77535605562008
351009,251.8,249.8,249.5,-1.9801,LP3,0.456,"[np.float64(24.583528019536036), 7.3155316072528755]","[0.2982512671916482, 23.510972903861767, 6.193125067294058]","[1.0010270718420147, 3.3168715106251137, 0.3403367224400119]",-123.68983770913906,-121.49334338685345,-121.35387579261237
351010,249.3,250.3,249.9,1.0116,Gumbel,0.426,"[np.float64(24.45714400236404), 7.257294153356538]","[0.1835315232754659, 23.777552223688474, 6.655296431963746]","[0.7769032190871206, 3.3105905941080778, 0.33213852164349855]",-122.46456670022779,-121.76393616972024,-121.55293203110482
351011,376.5,375.1,373.4,-1.397,LP3,0.609,"[np.float64(84.6052549052389), 46.84053146037899]","[0.4853444050561513, 73.98816038655447, 35.67219997630751]","[1.254473998286696, 4.578366818172373, 0.6307246405224772]",-186.07063252246857,-184.16569658824616,-183.32059086324898
351012,365.4,366.8,366.0,1.3957,Gumbel,0.444,"[np.float64(85.03807249003987), 40.49938478054187]","[0.17753472940793008, 81.2557413529104, 37.11192692111601]","[0.23380436479181305, 4.577012335564373, 0.492033159924577]",-180.51333709636734,-180.00471087164354,-179.59035518140283
351201,342.2,339.1,338.6,-3.1178,LP3,0.518,"[np.float64(73.89757679185908), 27.339135029183137]","[0.32468472626927675, 69.5573803949933, 22.7152214960049]","[1.0596500838382998, 4.430073986039616, 0.4192522803446125]",-168.91525170862207,-166.14991971975516,-165.88830231717833
