station,selected_dist,RL_2,RL_5,RL_10,RL_25,RL_50,RL_100
351001,LP3,85.57,128.87,165.96,224.16,276.97,339.05
351002,Gumbel,70.99,95.5,111.73,132.23,147.44,162.54
351003,LP3,96.8,133.92,144.93,151.16,153.14,154.1
351004,Gumbel,82.75,114.41,135.36,161.85,181.49,200.99
351005,Gumbel,73.22,98.24,114.82,135.75,151.29,166.71
351006,GEV,36.27,43.11,45.79,47.94,48.95,49.64
351007,GEV,34.78,41.93,44.51,46.42,47.26,47.79
351008,LP3,51.49,84.26,112.28,156.08,195.61,241.79
351009,LP3,26.08,35.68,43.51,55.27,65.51,77.15
351010,Gumbel,27.12,35.34,40.79,47.67,52.77,57.84
351011,LP3,85.63,153.83,226.65,365.86,517.38,724.91
351012,Gumbel,99.88,145.78,176.18,214.58,243.06,271.34
351201,LP3,78.05,114.97,147.26,198.8,246.31,302.89
